LAKE,Date,Date2,TreatmentNewLabel,TreatmentOldLabel,Repl_1_3,Reading_a_b_c,VolFiltered_L,ExtractVol_mL,ScanNo,A480,A630C,A645B,A665A,A750,Chl_a_ug_L,CHLB,CHLC,Total_chl,Chl_comment
B,04-Jul-94,1994-07-04,Integrated,single sample,1,a,,,,,,,,,12.79,,,,
B,18-Jul-94,1994-07-18,Integrated,single sample,1,a,,,,,,,,,12.95,,,,
B,28-Jul-94,1994-07-28,Integrated,single sample,1,a,,,,,,,,,10.50,,,,
B,18-Aug-94,1994-08-18,Integrated,single sample,1,a,,,,,,,,,6.83,,,,
B,04-May-95,1995-05-04,Integrated,I,1,a,0.50,5.00,,,,,,,9.94,-1.95,3.26,13.20,
B,04-May-95,1995-05-04,Integrated,I,2,a,0.50,5.00,,,,,,,11.54,-2.71,3.84,15.38,
B,16-May-95,1995-05-16,Integrated,I,1,a,0.50,5.00,,,,,,,16.33,-0.25,1.90,18.23,
B,16-May-95,1995-05-16,Integrated,I,2,a,0.50,5.00,,,,,,,11.08,-1.05,12.17,23.25,
B,26-May-95,1995-05-26,Integrated,I,1,a,1.00,5.00,,,,,,,3.87,0.10,0.52,4.49,
B,26-May-95,1995-05-26,Integrated,I,2,a,1.00,5.00,,,,,,,3.69,-0.28,0.62,4.31,
B,09-Jun-95,1995-06-09,Integrated,I,1,a,1.00,5.00,,,,,,,3.93,0.13,1.30,5.37,
B,09-Jun-95,1995-06-09,Integrated,I,2,a,1.00,5.00,,,,,,,5.06,0.13,0.75,5.94,
B,23-Jun-95,1995-06-23,Integrated,I,1,a,0.25,5.00,,,,,,,23.00,-3.72,0.33,23.33,
B,23-Jun-95,1995-06-23,Integrated,I,2,a,0.25,5.00,,,,,,,19.78,-1.90,1.64,21.42,
B,11-Jul-95,1995-07-11,Integrated,I,1,a,0.25,5.00,,,,,,,11.58,1.12,1.67,14.37,
B,11-Jul-95,1995-07-11,Integrated,I,2,a,0.25,5.00,,,,,,,11.30,0.88,1.34,13.52,
B,21-Jul-95,1995-07-21,Integrated,I,1,a,0.50,5.00,,,,,,,21.37,-0.17,3.48,24.84,
B,21-Jul-95,1995-07-21,Integrated,I,2,a,0.50,5.00,,,,,,,20.10,-0.17,3.02,23.12,
B,02-Aug-95,1995-08-02,Integrated,I,1,a,0.50,5.00,,,,,,,14.62,1.97,2.38,17.00,
B,02-Aug-95,1995-08-02,Integrated,I,2,a,0.50,5.00,,,,,,,13.16,0.99,4.71,17.86,
B,24-Aug-95,1995-08-24,Integrated,I,1,a,0.50,5.00,,,,,,,21.60,-2.92,4.20,25.80,
B,24-Aug-95,1995-08-24,Integrated,I,2,a,0.50,5.00,,,,,,,22.22,-4.27,3.86,26.08,
B,08-May-96,1996-05-08,Integrated,single sample,1,a,,,,,,,,,,,,4.22,
B,22-May-96,1996-05-22,Integrated,single sample,1,a,,,,,,,,,,,,11.95,
B,06-Jun-96,1996-06-06,Integrated,single sample,1,a,,,,,,,,,,,,6.84,
B,18-Jun-96,1996-06-18,Integrated,single sample,1,a,,,,,,,,,,,,9.97,
B,03-Jul-96,1996-07-03,Integrated,single sample,1,a,,,,,,,,,,,,7.07,
B,19-Jul-96,1996-07-19,Integrated,single sample,1,a,,,,,,,,,,,,40.89,
B,02-Aug-96,1996-08-02,Integrated,single sample,1,a,,,,,,,,,,,,10.31,
B,19-Aug-96,1996-08-19,Integrated,single sample,1,a,,,,,,,,,,,,23.97,
B,08-May-97,1997-05-08,63_um,63UM,1,a,0.20,5.00,,0.13,0.04,0.06,0.16,0.00,47.26,6.55,8.55,62.58,
B,08-May-97,1997-05-08,63_um,63UM,2,a,0.20,5.00,,0.11,0.03,0.05,0.14,0.00,40.35,4.62,4.97,49.93,
B,08-May-97,1997-05-08,63_um,63UM,3,a,0.50,5.00,,0.10,0.02,0.03,0.12,-0.01,14.28,-0.27,1.96,16.21,
B,08-May-97,1997-05-08,63_um,63UM,4,a,0.50,5.00,,0.09,0.02,0.03,0.11,-0.01,13.22,-0.13,1.94,15.26,
B,08-May-97,1997-05-08,Integrated,I,1,a,0.35,5.00,,0.25,0.07,0.10,0.29,0.00,46.92,5.67,7.48,60.07,
B,08-May-97,1997-05-08,Integrated,I,2,a,0.35,5.00,,0.30,0.09,0.12,0.35,0.00,57.15,6.05,8.79,72.02,
B,08-May-97,1997-05-08,Integrated,I,3,a,0.50,5.00,,0.23,0.04,0.06,0.23,0.00,26.56,-1.37,3.21,29.85,
B,08-May-97,1997-05-08,Integrated,I,4,a,0.25,5.00,,0.27,0.05,0.07,0.25,0.00,57.78,-3.81,7.64,65.47,
B,08-May-97,1997-05-08,Integrated,I,5,a,0.50,5.00,,0.23,0.04,0.05,0.23,0.00,26.09,-1.95,3.18,29.14,
B,08-May-97,1997-05-08,Surface,S,1,a,0.25,5.00,,0.16,0.03,0.04,0.16,0.00,35.56,-2.46,3.65,39.21,
B,08-May-97,1997-05-08,Surface,S,2,a,0.25,5.00,,0.15,0.03,0.06,0.14,0.00,29.66,10.12,-0.30,39.78,
B,26-May-97,1997-05-26,63_um,63UM,1,a,0.25,5.00,,0.05,0.02,0.02,0.04,0.00,8.89,0.78,3.12,12.79,
B,26-May-97,1997-05-26,63_um,63UM,2,a,0.25,5.00,,0.05,0.01,0.01,0.04,0.00,7.76,1.33,2.61,11.69,
B,26-May-97,1997-05-26,Integrated,I,1,a,0.50,5.00,,0.09,0.02,0.03,0.07,0.00,8.02,0.71,2.21,10.92,
B,26-May-97,1997-05-26,Integrated,I,2,a,0.50,5.00,,0.06,0.02,0.02,0.05,0.00,5.50,0.04,1.38,6.93,
B,26-May-97,1997-05-26,Surface,S,1,a,0.50,5.00,,0.06,0.02,0.02,0.04,0.00,4.97,0.91,1.78,7.65,
B,26-May-97,1997-05-26,Surface,S,2,a,0.50,5.00,,0.05,0.02,0.02,0.04,0.00,4.43,1.06,1.71,7.21,
B,09-Jun-97,1997-06-09,63_um,63UM,1,a,0.35,5.00,,0.13,0.03,0.04,0.12,0.00,19.76,1.70,3.81,25.25,
B,09-Jun-97,1997-06-09,63_um,63UM,2,a,0.35,5.00,,0.09,0.02,0.03,0.09,0.00,13.96,1.40,3.02,18.38,
B,09-Jun-97,1997-06-09,Integrated,I,1,a,0.35,5.00,,0.10,0.03,0.04,0.13,0.01,19.81,-0.91,2.62,22.43,
B,09-Jun-97,1997-06-09,Integrated,I,2,a,0.35,5.00,,0.10,0.03,0.03,0.12,0.01,19.61,-2.75,2.99,22.60,
B,09-Jun-97,1997-06-09,Surface,S,1,a,0.35,5.00,,0.09,0.03,0.04,0.13,0.00,21.40,1.13,2.70,25.25,
B,09-Jun-97,1997-06-09,Surface,S,2,a,0.35,5.00,,0.07,0.02,0.04,0.11,0.00,18.37,2.54,1.45,22.45,
B,25-Jun-97,1997-06-25,63_um,63UM,1,a,0.50,5.00,,0.10,0.04,0.05,0.12,0.01,12.63,2.61,2.92,18.15,
B,25-Jun-97,1997-06-25,63_um,63UM,2,a,0.50,5.00,,0.09,0.04,0.05,0.10,0.01,10.71,2.52,2.74,15.97,
B,25-Jun-97,1997-06-25,Integrated,I,1,a,0.50,5.00,,0.08,0.03,0.04,0.12,,,,,,
B,25-Jun-97,1997-06-25,Integrated,I,2,a,0.50,5.00,,0.09,0.03,0.05,0.13,0.00,14.50,2.67,2.33,19.38,
B,25-Jun-97,1997-06-25,Surface,S,1,a,0.50,5.00,,0.08,0.03,0.04,0.10,0.00,10.96,2.11,1.37,14.45,
B,25-Jun-97,1997-06-25,Surface,S,2,a,0.50,5.00,,0.08,0.02,0.03,0.10,0.00,11.07,0.09,1.71,12.86,
B,08-Jul-97,1997-07-08,63_um,63UM,1,a,0.25,5.00,,0.07,0.02,0.03,0.07,0.00,14.78,2.68,4.00,21.46,
