LAKE,YEAR,ICEOUTDOY,ICEONDOY
B,1994,105,322
B,1995,110,307
B,1996,120,304
B,1997,116,318
B,1998,108,315
B,1999,108,327
B,2000,95,313
B,2001,118,330
B,2002,113,303
B,2003,111,308
B,2004,110,327
B,2005,104,320
B,2006,104,
B,2007,110,
B,2008,,
B,2009,,
B,2010,,
B,2011,,
C,1994,108,
C,1995,111,
C,1996,123,
C,1997,113,
C,1998,113,
C,1999,109,
C,2000,107,
C,2001,117,
C,2002,121,
C,2003,115,
C,2004,109,
C,2005,107,
C,2006,,
C,2007,,
C,2008,120,
C,2009,,
C,2010,,
C,2011,,
D,1994,113,344
D,1995,121,340
D,1996,136,336
D,1997,121,368
D,1998,112,359
D,1999,116,
D,2000,108,
D,2001,126,
D,2002,122,
D,2003,120,
D,2004,119,
D,2005,114,
D,2006,114,
D,2007,,
D,2008,,
D,2009,,
D,2010,,
D,2011,,
K,1994,112,331
K,1995,,315
K,1996,128,317
K,1997,114,321
K,1998,112,340
K,1999,111,345
K,2000,103,326
K,2001,119,338
K,2002,127,319
K,2003,115,313
K,2004,116,342
K,2005,107,335
K,2006,105,
K,2007,,
K,2008,,
K,2009,,
K,2010,,
K,2011,,
L,1994,108,
L,1995,,
L,1996,128,
L,1997,,
L,1998,107,
L,1999,,
L,2000,110,
L,2001,117,
L,2002,123,
L,2003,111,
L,2004,113,
L,2005,105,
L,2006,106,
L,2007,,
L,2008,,
L,2009,,
L,2010,,
L,2011,,
P,2000,,
P,2001,,
P,2002,,
P,2003,,
P,2004,,
P,2005,,
P,2006,,
P,2007,,
P,2008,,
P,2009,,
P,2010,,
P,2011,,
WW,1994,,
WW,1995,,
WW,1996,110,
WW,1997,108,
WW,1998,105,
WW,1999,105,
WW,2000,100,
WW,2001,109,
WW,2002,107,
WW,2003,106,
WW,2004,106,
WW,2005,103,
WW,2006,103,
WW,2007,101,
WW,2008,110,
WW,2009,,
WW,2010,,
WW,2011,,
