Year,LAKE,InflowTotal
1994,B,103000
1995,B,110000
1996,B,138000
1997,B,186000
1998,B,127000
1999,B,121000
2000,B,140000
2001,B,148000
2002,B,149000
2003,B,141000
2004,B,145000
2005,B,105000
2006,B,114000
2007,B,104000
2008,B,149000
2009,B,117000
1994,C,370000
1995,C,264000
1996,C,591000
1997,C,526000
1998,C,144000
1999,C,594000
2000,C,163000
2001,C,148000
2002,C,74100
2003,C,218000
2004,C,211000
2005,C,319000
2006,C,340000
2007,C,346000
2008,C,109000
2009,C,190000
1994,D,5910000
1995,D,10000000
1996,D,8210000
1997,D,8520000
1998,D,7460000
1999,D,7170000
2000,D,3740000
2001,D,2710000
2002,D,6890000
2003,D,5670000
2004,D,5250000
2005,D,11900000
2006,D,6980000
2007,D,7920000
2008,D,7860000
2009,D,4810000
1994,L,142000
1995,L,108000
1996,L,218000
1997,L,243000
1998,L,83500
1999,L,200000
2000,L,86400
2001,L,91800
2002,L,81300
2003,L,104000
2004,L,92100
2005,L,141000
2006,L,220000
2007,L,204000
2008,L,78900
2009,L,120000
1994,K,323000
1995,K,156000
1996,K,482000
1997,K,492000
1998,K,126000
1999,K,506000
2000,K,110000
2001,K,111000
2002,K,60300
2003,K,208000
2004,K,176000
2005,K,284000
2006,K,319000
2007,K,305000
2008,K,100000
2009,K,120000
1994,WW,78400
1995,WW,30900
1996,WW,111000
1997,WW,72600
1998,WW,3480
1999,WW,52600
2000,WW,5260
2001,WW,37300
2002,WW,2710
2003,WW,12300
2004,WW,15400
2005,WW,44300
2006,WW,15600
2007,WW,10000
2008,WW,1700
2009,WW,32400
