LAKE,Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec, Total
B,1994,3937,3637,29838,8199,524,7943,7468,9800,8793,5977,4049,3685,93850
B,1995,3673,3875,8261,9761,12288,20691,15924,11630,4814,4877,4257,3964,104015
B,1996,3360,3136,14327,24512,2474,7440,8769,10355,8770,7597,3343,2739,96822
B,1997,2483,2351,16036,52249,1401,9516,8018,15084,8223,6485,5242,5289,132377
B,1998,5211,4506,10692,13485,19044,20617,11790,11428,12565,5089,3968,4051,122446
B,1999,3810,3411,45054,9057,517,2911,8608,10295,10404,9505,5101,4340,113013
B,2000,4123,3357,4516,23547,23477,23094,9936,13698,8686,4280,3591,4040,126345
B,2001,4077,3521,5225,3841,12533,25821,25827,17701,10546,7708,7222,6892,130914
B,2002,6575,4384,4889,15352,24035,28156,26809,6447,5197,6414,5065,5163,138486
B,2003,4611,4268,19850,6810,4868,21138,20529,20643,13849,8420,5050,4722,134758
B,2004,5026,6150,9362,30056,22643,11092,13335,14299,9503,13945,5284,5094,145789
B,2005,4820,4884,15398,19043,8002,11088,10595,11894,8563,6289,2923,4164,107663
B,2006,4047,3570,14070,50741,6538,13829,9931,9349,7551,6206,2081,4359,132272
B,2007,4164,3701,31014,9744,4500,7964,7632,15152,7211,5416,5173,4912,106583
B,2008,4666,4558,5461,13370,19441,27201,22558,11585,7884,6121,8582,8098,139525
B,2009,3190,3265,4053,26663,21305,10805,12666,10765,8408,6098,3849,5416,116483
B,2010,4688,4134,10694,19093,18183,10298,11470,11307,4386,5235,5008,5607,110103
L,1994,6308,1844,81028,39601,23231,14004,9451,5635,5085,0,0,298,186485
L,1995,1890,0,25333,21608,45308,22044,7057,15546,0,2499,1894,1604,144783
L,1996,1794,1934,19338,167375,39451,27458,12774,8502,0,592,677,5893,285788
L,1997,6638,525,10249,163795,32706,20163,9725,19331,5256,0,0,1383,269771
L,1998,5028,774,15277,16678,33203,24575,4007,5359,0,0,0,764,105665
L,1999,5798,2920,42738,102488,23720,7289,11144,10366,0,0,0,912,207375
