LAKE,Date,Date2,Replicate,LIGHT_O2_ppm,DARK_O2_ppm,LIGHT_Pois_O2_ppm,DARK_Pois_O2_ppm,NetOxy_ppm,RespOxy_ppm,Net_mgC_m3_h,Resp_mgC_m3_H,LightAzidemgCm3h,DarkAzidemgCm3h
B,18-Jun-96,1996-06-18,1,5.5,3.9,4.3,4.2,1.30,-0.30,15.60,-3.60,1.20,0.00
B,18-Jun-96,1996-06-18,2,5.8,4,4.2,4.2,1.60,-0.20,19.20,-2.40,0.00,0.00
B,18-Jun-96,1996-06-18,3,5.8,3.9,4.4,4.1,1.60,-0.30,19.20,-3.60,2.40,-1.20
B,03-Jul-96,1996-07-03,1,4.6,4.2,4.5,4.4,0.20,-0.20,2.40,-2.40,1.20,0.00
B,03-Jul-96,1996-07-03,2,4.7,4.3,4.5,4.3,0.30,-0.10,3.60,-1.20,1.20,-1.20
B,03-Jul-96,1996-07-03,3,4.7,4.2,4.5,4.4,0.30,-0.20,3.60,-2.40,1.20,0.00
B,19-Jul-96,1996-07-19,1,4.9,4.5,4.7,4.7,0.20,-0.20,2.40,-2.40,0.00,0.00
B,19-Jul-96,1996-07-19,2,5,4.4,4.8,4.8,0.30,-0.30,3.60,-3.60,1.20,1.20
B,19-Jul-96,1996-07-19,3,5.2,4.3,4.8,4.7,0.50,-0.40,6.00,-4.80,1.20,0.00
B,02-Aug-96,1996-08-02,1,4.9,4,4.5,4.4,0.50,-0.40,6.00,-4.80,1.20,0.00
B,02-Aug-96,1996-08-02,2,4.8,4.1,4.6,4.3,0.40,-0.30,4.80,-3.60,2.40,-1.20
B,02-Aug-96,1996-08-02,3,4.8,4,4.4,4.3,0.40,-0.40,4.80,-4.80,0.00,-1.20
B,19-Aug-96,1996-08-19,1,4.6,3.6,4.2,4,0.60,-0.40,7.35,-4.90,2.45,0.00
B,19-Aug-96,1996-08-19,2,4.7,3.5,4.1,4.1,0.70,-0.50,8.58,-6.13,1.23,1.23
B,19-Aug-96,1996-08-19,3,4.6,3.6,4.2,4,0.60,-0.40,7.35,-4.90,2.45,0.00
B,08-May-97,1997-05-08,1,15.2,9.4,12.2,8.5,1.00,-4.80,12.00,-57.61,-24.00,-68.41
B,08-May-97,1997-05-08,2,15.6,10.8,12.3,8.3,1.40,-3.40,16.80,-40.81,-22.80,-70.81
B,08-May-97,1997-05-08,3,15.3,11.7,10.8,8.2,1.10,-2.50,13.20,-30.00,-40.81,-72.01
B,26-May-97,1997-05-26,1,7.4,7.2,6.4,6.5,-0.60,-0.80,-7.20,-9.60,-19.20,-18.00
B,26-May-97,1997-05-26,2,7.6,6.9,6.6,6.6,-0.40,-1.10,-4.80,-13.20,-16.80,-16.80
B,26-May-97,1997-05-26,3,7.7,6.8,6.5,6.5,-0.30,-1.20,-3.60,-14.40,-18.00,-18.00
B,09-Jun-97,1997-06-09,1,8.8,8.7,8.3,7.7,-0.30,-0.40,-3.60,-4.80,-9.60,-16.80
B,09-Jun-97,1997-06-09,2,9.2,8.6,8.2,8.1,0.10,-0.50,1.20,-6.00,-10.80,-12.00
