Date Time,Temp,Cond,SpCond,pH,ODOsat,ODO,Sal
15/09/09 12:30:33,20.93,3,3,4.12,99.8,8.91,0
15/09/09 12:35:33,21.01,2,2,4.17,100,8.92,0
15/09/09 12:40:33,21.07,2,2,4.23,100.2,8.92,0
15/09/09 12:45:33,21.13,2,2,4.24,100.3,8.92,0
15/09/09 12:50:33,21.18,3,3,4.21,100.3,8.91,0
15/09/09 12:55:33,21.2,3,3,4.22,100.3,8.9,0
15/09/09 13:00:33,21.22,3,3,4.25,100.3,8.91,0
15/09/09 13:05:33,21.23,3,3,4.28,100.5,8.92,0
15/09/09 13:10:33,21.24,3,3,4.29,100.6,8.92,0
15/09/09 13:15:33,21.23,3,4,4.31,100.7,8.94,0
15/09/09 13:20:33,21.24,2,2,4.3,100.7,8.93,0
15/09/09 13:25:33,21.29,2,2,4.33,100.7,8.93,0
15/09/09 13:30:33,21.33,2,2,4.34,100.7,8.92,0
15/09/09 13:35:32,21.34,2,2,4.35,100.6,8.91,0
15/09/09 13:40:33,20.79,18,20,4.22,99.8,8.93,0.01
15/09/09 13:45:33,13.75,15,20,4.71,99.8,10.34,0.01
15/09/09 13:50:32,13.26,16,21,5.03,99.7,10.45,0.01
15/09/09 13:55:33,14.06,17,22,5.05,98.1,10.09,0.01
15/09/09 14:00:33,15.35,746,914,8.82,75.1,7.49,0.45
15/09/09 14:05:32,11.21,1,2,7.75,94,10.31,0
15/09/09 14:10:33,10.64,1,1,7.59,93.9,10.44,0
15/09/09 14:15:33,10.65,1,1,7.07,95.3,10.6,0
15/09/09 14:20:33,11.19,1,1,7.4,94.4,10.37,0
15/09/09 14:25:33,15.12,2,3,8.9,95.8,9.63,0
15/09/09 14:30:33,15.38,746,913,8.9,81.3,8.11,0.45
15/09/09 14:35:33,15.37,745,913,8.91,78.2,7.8,0.45
15/09/09 14:40:33,15.33,744,912,8.91,76.9,7.68,0.45
15/09/09 14:45:33,15.33,743,911,8.91,77,7.69,0.45
15/09/09 14:50:33,15.32,743,911,8.9,76.5,7.64,0.45
15/09/09 14:55:33,15.34,744,912,8.9,74.1,7.39,0.45
15/09/09 15:00:33,15.34,744,912,8.9,74,7.39,0.45
15/09/09 15:05:33,15.35,744,912,8.91,76,7.59,0.45
15/09/09 15:10:33,15.36,744,912,8.91,77,7.68,0.45
15/09/09 15:15:33,15.38,745,913,8.91,77.7,7.75,0.45
15/09/09 15:20:33,15.41,746,913,8.92,80.3,8,0.45
15/09/09 15:25:33,15.43,746,912,8.92,80.9,8.07,0.45
15/09/09 15:30:33,15.44,747,914,8.93,80.7,8.04,0.45
15/09/09 15:35:33,15.45,747,914,8.93,81.8,8.15,0.45
15/09/09 15:40:33,15.45,747,914,8.93,80.8,8.05,0.45
15/09/09 15:45:33,15.46,747,914,8.93,81.4,8.11,0.45
15/09/09 15:50:33,15.47,748,915,8.92,81.4,8.11,0.45
15/09/09 15:55:33,15.46,747,914,8.93,81.4,8.1,0.45
15/09/09 16:00:33,15.46,747,914,8.93,81.6,8.13,0.45
15/09/09 16:05:33,15.46,747,913,8.93,81.9,8.16,0.45
15/09/09 16:10:33,15.47,747,914,8.93,81.5,8.12,0.45
15/09/09 16:15:33,15.46,747,913,8.93,81.8,8.14,0.45
15/09/09 16:20:33,15.46,747,913,8.92,77.5,7.72,0.45
15/09/09 16:25:33,15.47,748,914,8.93,80.5,8.01,0.45
15/09/09 16:30:33,15.48,748,914,8.93,80.2,7.98,0.45
15/09/09 16:35:33,15.48,749,915,8.92,78.6,7.82,0.45
