chlorphyllID,sampleID,rep,volume,chlID,chlvalue
3,Tramping,1,250,A,38.17
4,Tramping,1,250,B,0.02
5,Tramping,1,250,C,-0.21
6,Tramping,1,250,totalChl,37.97
7,Tramping,2,250,A,36.6
8,Tramping,2,250,B,-0.08
9,Tramping,2,250,C,-0.56
10,Tramping,2,250,totalChl,35.97
11,Lewis Creek South,1,250,A,70.48
12,Lewis Creek South,1,250,B,-3.19
13,Lewis Creek South,1,250,C,-0.5
14,Lewis Creek South,1,250,totalChl,66.79
15,Lewis Creek South,2,250,A,66.01
16,Lewis Creek South,2,250,B,-1.85
17,Lewis Creek South,2,250,C,0.87
18,Lewis Creek South,2,250,totalChl,65.03
19,Kenosee,1,250,A,25.83
20,Kenosee,1,250,B,2.65
21,Kenosee,1,250,C,-2.2
22,Kenosee,1,250,totalChl,26.27
23,Kenosee,2,250,A,25.28
24,Kenosee,2,250,B,1.88
25,Kenosee,2,250,C,-3.29
26,Kenosee,2,250,totalChl,23.88
27,Shrimp,1,250,A,59.44
28,Shrimp,1,250,B,-0.81
29,Shrimp,1,250,C,0.67
30,Shrimp,1,250,totalChl,59.3
31,Shrimp,2,250,A,62.53
32,Shrimp,2,250,B,-1.61
33,Shrimp,2,250,C,0.73
34,Shrimp,2,250,totalChl,61.64
35,Newton,1,750,A,3.23
36,Newton,1,750,B,4.22
37,Newton,1,750,C,0.91
38,Newton,1,750,totalChl,8.37
39,Newton,2,750,A,2.65
40,Newton,2,750,B,1.97
41,Newton,2,750,C,0.64
42,Newton,2,750,totalChl,5.25
43,Good Spirt,1,500,A,6.94
44,Good Spirt,1,500,B,1.72
45,Good Spirt,1,500,C,-0.69
46,Good Spirt,1,500,totalChl,7.96
47,Good Spirt,2,500,A,6.69
48,Good Spirt,2,500,B,1.52
49,Good Spirt,2,500,C,-0.87
50,Good Spirt,2,500,totalChl,7.34
51,Montague,1,150,A,16.8
52,Montague,1,150,B,7.51
53,Montague,1,150,C,-4.59
54,Montague,1,150,totalChl,19.72
55,Montague,2,150,A,8.5
56,Montague,2,150,B,4.41
57,Montague,2,150,C,-3.14
58,Montague,2,150,totalChl,9.77
59,Bullkin,1,250,A,8.73
60,Bullkin,1,250,B,4.83
61,Bullkin,1,250,C,-3.98
62,Bullkin,1,250,totalChl,9.58
63,Bullkin,2,250,A,10.03
64,Bullkin,2,250,B,5.61
65,Bullkin,2,250,C,-3.3
66,Bullkin,2,250,totalChl,12.34
67,Springwater,1,1000,A,1.17
68,Springwater,1,1000,B,1.23
69,Springwater,1,1000,C,-1.13
70,Springwater,1,1000,totalChl,1.27
71,Springwater,2,1000,A,1.41
72,Springwater,2,1000,B,1.53
73,Springwater,2,1000,C,-0.8
74,Springwater,2,1000,totalChl,2.14
75,Peter,1,750,A,0.59
76,Peter,1,750,B,1.59
77,Peter,1,750,C,-1.81
78,Peter,1,750,totalChl,0.3
79,Peter,2,750,A,0.54
80,Peter,2,750,B,1.56
81,Peter,2,750,C,-1.87
82,Peter,2,750,totalChl,0.26
83,Horse,1,250,A,54.19
84,Horse,1,250,B,-0.93
85,Horse,1,250,C,-2.05
86,Horse,1,250,totalChl,51.2
87,Horse,2,250,A,57.91
88,Horse,2,250,B,-1.45
89,Horse,2,250,C,-1.06
90,Horse,2,250,totalChl,55.4
91,Island,1,250,A,12.96
92,Island,1,250,B,3.86
93,Island,1,250,C,-3.42
94,Island,1,250,totalChl,13.41
95,Island,2,250,A,12.51
96,Island,2,250,B,3.94
97,Island,2,250,C,-3.95
98,Island,2,250,totalChl,12.5
99,Luck,1,750,A,0.04
100,Luck,1,750,B,0.03
101,Luck,1,750,C,0.02
102,Luck,1,750,totalChl,0.1
103,Luck,2,750,A,1.97
104,Luck,2,750,B,1.49
105,Luck,2,750,C,-1.56
106,Luck,2,750,totalChl,1.89
107,Quill,1,250,A,12.18
108,Quill,1,250,B,4.01
109,Quill,1,250,C,-3.78
