"lakeName","Year","Month","sampleID","siteID","latitude","longitude","Date","TOD","secchi","sampleDepth","wind","DIC","DOC","Altitude","windMS","conductivity","oxygenConcentration","oxygenPercent","pH","salinity","specificConductivity","TDS","temperature","Day","pco2atm","DICumol","chlvalue","CO2fluxmmolm2d","pCO2uatm"
"Adrian",2013,8,11,10,49.694355,-102.871946,2013-08-01,"1:40:00 PM",0.45,1.2,20,158.469,30.218,610,5.55555555555556,1405,5.18,65.2,9.04,0.8,1578,NA,19.4,1,395.01,13205.75,13.26,11.2942544013533,533.692245235765
"Alioth",2013,8,69,68,52.50691,-109.554552,2013-08-20,"3:20:00 AM",0,0.58,12,39.365,63.005,640,3.33333333333333,21217,13.44,190.6,10.33,13.92,23016,NA,21.1,20,395.01,3280.41666666667,2.935,-143.764579607457,1.14540142081097
"Alsask",2013,8,26,25,51.337208,-109.876513,2013-08-08,"10:00:00 AM",1.58,3.2,13,607.6,74.036,638,3.61111111111111,92241,13.87,271.9,9.35,74.84,102546,NA,19.8,8,395.01,50633.3333333333,2.83,4.9907478354662,423.053997729136
"Annie Laurie",2013,8,49,48,51.970037,-102.668184,2013-08-15,"12:17:00 PM",0.175,1.3,12,39.075,19.113,508,3.33333333333333,494.9,9.77,128,8.77,0.25,524.3,NA,22.1,15,395.01,3256.25,60.825,-8.66906249162167,271.528798880031
"Antelope",2013,8,102,100,50.275582,-108.391484,2013-08-17,"4:05:00 PM",2.7,7.7,5,122.612,44.277,705,1.38888888888889,12850,12.1,192,9.42,7.87,NA,8.846,22.19,17,395.01,10217.6666666667,NA,-60.2893817478079,110.200590655047
"Arthur",2013,8,95,93,52.563928,-105.443097,2013-08-06,"12:20:00 PM",3,6.7,15,95.46,30.748,544,4.16666666666667,11620,7.6,114,9.06,7.16,NA,8.089,20.27,6,395.01,7955,NA,-10.3921195152648,239.942669025554
"Barber",2013,8,31,30,51.369423,-107.664354,2013-08-09,"",1.346,1.6,5,73.448,21.597,551,1.38888888888889,2187,2.04,25.9,8.5,1.26,2443,NA,19.6,9,395.01,6120.66666666667,3.2,41.6481906324716,874.875939002138
"Bitter",2013,8,15,14,50.096027,-109.789666,2013-08-06,"10:00:00 AM",0.03,0.9,12,103.728,46.918,707,3.33333333333333,21960,4.6,64.6,8.68,15.1,24765,NA,19.1,6,395.01,8644,55.625,16.4104879882159,626.720436272115
"Blackstrap",2013,7,6,5,51.785259,-106.438293,2013-07-31,"9:00:00 AM",1.6,7.9,0,40.667,8.89,542,0,779,6.49,80.4,8.85,0.43,876,NA,19.2,31,397.19,3388.91666666667,18.33,-20.0422060393902,226.110132649694
"Buffalo Pound",2013,8,85,84,50.608245,-105.426535,2013-08-29,"12:45:00 PM",0.48,4.1,4,32.803,6.841,506,1.11111111111111,606,7.27,96.5,8.9,0.31,639,NA,22.3,29,395.01,2733.58333333333,62.77,-32.9110445562919,165.33516569608
"Bullkin",2013,8,46,45,49.24677,-105.072949,2013-08-13,"3:00:00 PM",0.16,0.7,20,115.096,19.447,665,5.55555555555556,3393,6.85,87.7,9.06,2.01,3792,NA,19.4,13,395.01,9591.33333333333,9.38,-1.53779861067196,339.691371066367
"Chapleau",2013,8,80,79,50.181708,-103.343929,2013-08-26,"9:58:00 AM",0.209,1.4,12,49.808,19.702,645,3.33333333333333,787,5.67,75.7,8.86,0.42,848,NA,21.2,26,395.01,4150.66666666667,121.415,-8.38655598289875,271.69081042604
"Charron",2013,8,91,89,52.404288,-104.310145,2013-08-01,"11:20:00 AM",2,8.8,15,96.402,26.955,567,4.16666666666667,7547,7.3,107,10.61,4.77,NA,5.549,18.92,1,395.01,8033.5,NA,-158.123843746896,1.38382943988432
"Clair",2013,8,111,109,51.987347,-104.061521,2013-08-27,"5:16:00 PM",0,3,20,53.187,19.94,523,5.55555555555556,1536,9.7,149,9.18,0.82,NA,1.058,22.08,27,395.01,4432.25,NA,-20.8195897336226,125.652416531391
"Clearwater",2013,8,28,27,50.873253,-107.929351,2013-08-08,"3:45:00 PM",0.52,7,0,127.334,27.501,681,0,1212,7.11,90.1,9.18,0.68,1362,NA,19.3,8,395.01,10611.1666666667,26.825,-11.3299086395585,305.852187790583
"Coldspring",2013,8,73,72,52.347531,-108.592693,2013-08-21,"8:33:00 AM",0.74,2.4,24,103.52,35.623,642,6.66666666666667,9155,6.93,89.2,8.83,5.86,10336,NA,19,21,395.01,8626.66666666667,7.32,6.12957120725647,483.216778833661
"Crooked",2013,8,83,82,50.608299,-102.724626,2013-08-28,"10:52:00 AM",0.624,10.2,13,54.24,12.769,456,3.61111111111111,1543,13.76,186.3,9.12,0.8,1576,NA,24,28,395.01,4520,NA,-29.5024342367781,149.367938467354
"Cutbank",2013,8,33,32,50.53318,-106.997408,2013-08-09,"2:00:00 PM",0.3,2.4,0,105.265,32.345,700,0,4064,13.05,174.2,9.08,2.41,4506,NA,19.9,9,395.01,8772.08333333333,60.655,-12.7961855125884,289.595789704607
"Cypress",2013,8,20,19,49.472363,-109.473664,2013-08-07,"8:35:00 AM",1.54,5.6,0,66.285,15.361,983,0,550,5.77,74,8.82,0.3,620,NA,19.1,7,395.01,5523.75,5.125,7.3857410168267,403.34866230217
"Deadmoose",2013,8,106,104,52.302819,-105.167261,2013-08-23,"9:15:00 AM",3.1,15.1,10,82.464,26.464,538,2.77777777777778,15940,6.1,91,9.42,10.47,NA,11.49,19.82,23,395.01,6872,NA,-44.4867613861328,71.2561459948154
"Deep",2013,8,79,78,50.41623,-103.681597,2013-08-26,"6:38:00 AM",0.4415,2.2,12,59.768,20.849,614,3.33333333333333,2771,9.42,125.5,8.88,1.53,2946,NA,21.9,26,395.01,4980.66666666667,68.7,-7.69528090315405,282.858084172245
"Dewey",2013,8,34,33,50.583209,-107.068083,2013-08-09,"11:45:00 AM",2.3,2.3,0,122.91,35.586,731,0,12881,3.26,44,8.39,8.54,14655,NA,18.7,9,395.01,10242.5,4.135,92.2494608787442,1597.71349471446
"Diefenbaker",2013,8,84,83,51.098348,-106.622533,2013-08-29,"9:00:00 AM",4.4,28.5,0,34.053,5.528,554,0,413.6,6.73,59,8.5,0.21,445.8,NA,21.2,29,395.01,2837.75,2.64,8.74579726051608,449.13390763075
"Eaglehill",2013,8,75,74,52.362157,-108.968503,2013-08-21,"10:55:00 AM",0.29,1.1,35,79.081,36.376,624,9.72222222222222,4371,0.14,2,9.02,2.64,4896,NA,19.4,21,395.01,6590.08333333333,29.395,-5.47950579709552,250.99176495375
"Edouard",2013,8,92,90,52.382578,-104.350314,2013-08-01,"2:28:00 PM",0.5,5.6,15,44.534,15.788,571,4.16666666666667,622,10.2,152,9.4,0.34,NA,0.448,19.95,1,395.01,3711.16666666667,NA,-38.7395723853495,64.0002132285716
"Elkwater",2013,8,18,17,49.667517,-110.294373,2013-08-06,"1:30:00 PM",1.73,7.9,28,39.674,6.247,1271,7.77777777777778,331.8,6.73,90.7,8.65,0.18,377.4,NA,18.7,6,395.01,3306.16666666667,4.615,1.58020049540278,368.531391896858
"Eyebrow",2013,8,25,24,50.955291,-106.18512,2013-08-08,"8:00:00 AM",0.9,0.9,0,36.506,5.237,526,0,370.7,7.25,89.2,8.34,0.21,428.9,NA,17.9,8,395.01,3042.16666666667,2.545,24.9517448229434,692.287169212205
"Farewell",2013,8,65,64,52.470286,-109.375777,2013-08-20,"10:38:00 AM",0.01,0.4,24,265.41,38.853,582,6.66666666666667,5440,11.17,133.2,9.4,3.57,6498,NA,16.5,20,395.01,22117.5,48.495,-4.45635310544554,299.791652440238
"Fife",2013,8,43,42,49.217149,-105.862596,2013-08-13,"11:50:00 AM",0.34,2.4,20,175.996,19.958,799,5.55555555555556,2541,6.7,87.5,9.06,1.47,2822,NA,20,13,395.01,14666.3333333333,12.825,12.3031817286861,535.754020216251
"Fishing",2013,8,104,102,51.815789,-103.471541,2013-08-20,"9:30:00 AM",1.5,11.5,10,59.502,17.883,526,2.77777777777778,3079,10.1,157,9.39,1.7,NA,2.109,22.4,20,395.01,4958.5,NA,-56.6789745166598,74.7686325466472
"Freefight",2013,8,23,22,50.40064,-109.112534,2013-08-07,"1:30:00 PM",4.75,15,5,417.6,113.676,705,1.38888888888889,28857,5.59,79.3,9.07,20.09,32132,NA,19.7,7,395.01,34800,13.005,63.6329171272269,875.237936538913
"Good Spirt",2013,8,55,54,51.551032,-102.670779,2013-08-16,"9:34:00 AM",1.272,5.2,18,48.345,18.688,485,5,852,7.47,94.3,8.71,0.46,941,NA,20.1,16,395.01,4028.75,6.815,0.183886106671081,374.347010214767
"Gouverneur",2013,8,44,43,49.758979,-107.650273,2013-08-13,"12:00:00 PM",1.75,7.2,10,90.498,19.167,760,2.77777777777778,2429,6.76,88.5,8.75,1.38,2662,NA,20.3,13,395.01,7541.5,4.975,19.7049155622213,591.826275310927
"Grassy",2013,8,12,11,51.239566,-104.627108,2013-08-04,"2:16:00 PM",1.47,2,12,84.567,34.53,558,3.33333333333333,1192,6.16,79.7,8.99,0.64,1284,NA,21.3,4,395.01,7047.25,1.615,-4.20252720730028,327.456950120787
"Greenwater",2013,8,52,51,52.518832,-103.502911,2013-08-15,"8:36:00 AM",0.686,7.5,9,41.36,12.458,597,2.5,627,7.32,84.1,8.5,0.33,679,NA,21.1,15,395.01,3446.66666666667,6.035,12.7260281166661,535.119826351797
"Gull",2013,8,16,15,50.109735,-108.498666,2013-08-06,"12:01:00 PM",0.665,5,25,94.276,26.741,782,6.94444444444444,3489,7.44,99.5,8.96,2.04,3848,NA,20.1,6,395.01,7856.33333333333,NA,-0.0304753125343761,356.814425875721
"Handsome",2013,8,32,31,50.489624,-107.383296,2013-08-09,"9:00:00 AM",0.21,1.9,0,112.395,34.215,709,0,3565,8.78,114.8,9.02,2.19,4105,NA,18.3,9,395.01,9366.25,104.22,0.507426100880961,364.096260252713
"Harris",2013,8,22,21,49.815004,-109.503615,2013-08-07,"11:30:00 AM",1.16,5.1,13,44.273,10.884,849,3.61111111111111,630,6.18,80.5,8.84,0.35,713,NA,18.9,7,395.01,3689.41666666667,9.315,-7.55289604458124,254.884207637171
"Horse",2013,8,53,52,51.387156,-103.561985,2013-08-16,"6:00:00 AM",0.4595,3.3,15,103.534,31.984,671,4.16666666666667,1284,4.45,58.3,8.79,0.7,1398,NA,20.8,16,395.01,8627.83333333333,56.05,20.2200098235881,646.825370530708
"Humbolt",2013,8,105,103,52.144261,-105.12045,2013-08-22,"5:16:00 PM",1.5,6.3,20,56.37,16.467,552,5.55555555555556,1529,8.4,128,9.12,0.84,NA,1.073,21.12,22,395.01,4697.5,NA,-16.3779589759444,154.92348403211
"Ingebright",2013,8,21,20,50.356085,-109.323948,2013-08-07,"10:42:00 AM",0,2.5,15,145.946,238.716,681,4.16666666666667,81616,3.51,67.2,8.33,63.62,89331,NA,20.5,7,395.01,12162.1666666667,4.34,64.3168844676751,1764.77727066384
