"","Date","lakeName","latitude","longitude","sampleDepth","Altitude","CO2fluxmmolm2d","pCO2uatm"
"1",2013-08-01,"Adrian",49.694355,-102.871946,1.2,610,11.2942544013533,533.692245235765
"2",2013-08-20,"Alioth",52.50691,-109.554552,0.58,640,-143.764579607457,1.14540142081097
"4",2013-08-15,"Annie Laurie",51.970037,-102.668184,1.3,508,-8.66906249162167,271.528798880031
"7",2013-08-09,"Barber",51.369423,-107.664354,1.6,551,41.6481906324716,874.875939002138
"8",2013-08-06,"Bitter",50.096027,-109.789666,0.9,707,16.4104879882159,626.720436272115
"11",2013-08-13,"Bullkin",49.24677,-105.072949,0.7,665,-1.53779861067196,339.691371066367
"12",2013-08-26,"Chapleau",50.181708,-103.343929,1.4,645,-8.38655598289875,271.69081042604
"16",2013-08-21,"Coldspring",52.347531,-108.592693,2.4,642,6.12957120725647,483.216778833661
"18",2013-08-09,"Cutbank",50.53318,-106.997408,2.4,700,-12.7961855125884,289.595789704607
"21",2013-08-26,"Deep",50.41623,-103.681597,2.2,614,-7.69528090315405,282.858084172245
"22",2013-08-09,"Dewey",50.583209,-107.068083,2.3,731,92.2494608787442,1597.71349471446
"24",2013-08-21,"Eaglehill",52.362157,-108.968503,1.1,624,-5.47950579709552,250.99176495375
"27",2013-08-08,"Eyebrow",50.955291,-106.18512,0.9,526,24.9517448229434,692.287169212205
"28",2013-08-20,"Farewell",52.470286,-109.375777,0.4,582,-4.45635310544554,299.791652440238
"29",2013-08-13,"Fife",49.217149,-105.862596,2.4,799,12.3031817286861,535.754020216251
"34",2013-08-04,"Grassy",51.239566,-104.627108,2,558,-4.20252720730028,327.456950120787
"37",2013-08-09,"Handsome",50.489624,-107.383296,1.9,709,0.507426100880961,364.096260252713
"41",2013-08-07,"Ingebright",50.356085,-109.323948,2.5,681,64.3168844676751,1764.77727066384
"42",2013-08-12,"Island",49.129387,-108.226411,2,877,-12.1311846388103,223.893200675307
"46",2013-08-09,"Kindersley",51.421035,-109.101516,1.6,686,-106.703455527805,23.1287228503507
"52",2013-08-15,"Lewis Creek South",51.438574,-105.528084,1.9,518,-1.37626919376864,352.576154572792
"56",2013-08-08,"Luck",51.069232,-107.100618,0.8,585,-96.109061716,26.600463253369
"60",2013-08-07,"Mason",50.361342,-109.353375,1.9,691,-12.4478323006084,289.066557492283
"64",2013-08-13,"Montague",49.474371,-105.826204,1.4,727,-5.13204301342162,306.598971815259
"67",2013-08-12,"Old Wives",50.095036,-105.992192,1.7,666,-27.9176084663718,135.690838566957
"68",2013-08-08,"Opuntia",51.808829,-108.573124,1.6,594,5.31532068414314,405.862497156463
"70",2013-08-16,"Peter",51.464382,-104.913697,0.5,519,-38.6342347779463,36.2034018518826
"71",2013-07-31,"Pike",51.897708,-106.816893,2.5,485,12.2450380485638,537.421186059605
"78",2013-08-22,"Richmond",52.010246,-108.021454,1.8,629,21.652753469794,803.613773409472
"84",2013-08-17,"Snakehole",50.50494,-108.489022,2.4,649,-6.88843063968732,304.827695325383
"85",2013-08-09,"Snipe",51.233494,-108.858046,1.2,649,28.2159324952838,673.626923424849
"92",2013-08-21,"Thackery",52.542642,-108.68657,1.6,646,-35.673807540174,78.9922867765465
"95",2013-08-16,"Unknown 1",51.546535,-104.268454,1.8,646,27.3499389761296,659.330206565412
"96",2013-08-05,"Unknown 3",50.649814,-108.971851,0.05,700,16.388660397849,691.316256856803
"97",2013-08-21,"Van Scoy",52.081379,-107.552726,0.9,533,-13.6783395129418,198.868732341978
"98",2013-08-05,"Vincent",50.222664,-108.944649,0.1,689,-70.2063197314444,34.8643345331891
"101",2013-08-19,"White Heron",51.891749,-109.046223,0.8,650,5.02875534171926,387.777292217567
"103",2013-08-12,"Willow Bunch",49.447147,-105.461306,1.1,667,-10.0313119509433,288.135613709377
"105",2013-08-22,"X3",51.93777,-107.577721,0.58,556,-83.0725644486618,10.440043499097
