"Year","Month","Day","Pressure"
2015,1,1,94.4933333333333
2015,1,2,94.4620833333333
2015,1,3,95.9983333333333
2015,1,4,96.4108333333333
2015,1,5,95.5354166666667
2015,1,6,96.71125
2015,1,7,96.6345833333333
2015,1,8,95.62
2015,1,9,95.6529166666667
2015,1,10,94.9179166666667
2015,1,11,95.7245833333333
2015,1,12,96.1729166666667
2015,1,13,95.2975
2015,1,14,94.5733333333333
2015,1,15,94.604347826087
2015,1,16,93.4120833333333
2015,1,17,93.7570833333333
2015,1,18,93.90125
2015,1,19,94.03375
2015,1,20,94.8241666666667
2015,1,21,95.3954166666667
2015,1,22,94.2616666666667
2015,1,23,94.6083333333333
2015,1,24,93.91375
2015,1,25,94.3225
2015,1,26,94.4095833333333
2015,1,27,94.1529166666667
2015,1,28,94.8575
2015,1,29,96.0854166666667
2015,1,30,95.4720833333333
2015,1,31,96.1920833333333
2015,2,1,95.7945833333333
2015,2,2,94.8808333333333
2015,2,3,94.9825
2015,2,4,95.2813043478261
2015,2,5,94.4629166666667
2015,2,6,93.9491666666667
2015,2,7,93.35375
2015,2,8,94.7379166666667
2015,2,9,94.9775
2015,2,10,95.1333333333333
2015,2,11,96.63875
2015,2,12,95.32875
2015,2,13,95.4254166666667
2015,2,14,95.76
2015,2,15,95.2658333333333
2015,2,16,95.6425
2015,2,17,95.504347826087
2015,2,18,95.4920833333333
2015,2,19,94.2970833333333
2015,2,20,94.3745833333333
2015,2,21,96
2015,2,22,96.6541666666667
2015,2,23,94.7266666666667
2015,2,24,94.52625
2015,2,25,95.8504166666667
2015,2,26,96.5520833333333
2015,2,27,95.40875
2015,2,28,95.1691666666667
2015,3,1,95.44125
2015,3,2,94.4495833333333
2015,3,3,94.8925
2015,3,4,95.5770833333333
2015,3,5,94.8275
2015,3,6,94.6991666666667
2015,3,7,95.0308333333333
2015,3,8,94.6258333333333
2015,3,9,93.8383333333333
2015,3,10,94.60875
2015,3,11,94.655
2015,3,12,94.74
2015,3,13,95.59875
2015,3,14,94.1291666666667
2015,3,15,94.1058333333333
2015,3,16,95.7825
2015,3,17,96.0479166666667
2015,3,18,95.11625
2015,3,19,94.6104166666667
2015,3,20,95.06125
2015,3,21,95.2570833333333
2015,3,22,94.9608333333333
2015,3,23,94.8470833333333
2015,3,24,94.3758333333333
2015,3,25,95.2516666666667
2015,3,26,95.3145833333333
2015,3,27,94.5675
2015,3,28,93.6629166666667
2015,3,29,94.5520833333333
2015,3,30,94.4320833333333
2015,3,31,93.9045833333333
2015,4,1,93.2529166666667
2015,4,2,94.4895833333333
2015,4,3,95.1695652173913
2015,4,4,95.01375
2015,4,5,95.0208333333333
2015,4,6,95.2054166666667
2015,4,7,94.8433333333333
2015,4,8,94.6816666666667
2015,4,9,94.725
2015,4,10,94.5329166666667
2015,4,11,93.24875
2015,4,12,93.6508333333333
2015,4,13,94.6354166666667
2015,4,14,94.0183333333333
2015,4,15,94.11875
2015,4,16,95.265
2015,4,17,95.1970833333333
2015,4,18,94.7183333333333
2015,4,19,94.9083333333333
2015,4,20,94.5283333333333
2015,4,21,94.72875
2015,4,22,94.73125
2015,4,23,94.3504166666667
2015,4,24,93.8145833333333
2015,4,25,94.03875
2015,4,26,94.9820833333333
2015,4,27,95.6429166666667
2015,4,28,95.22875
2015,4,29,94.3104166666667
2015,4,30,94.3208333333333
2015,5,1,94.1583333333333
2015,5,2,93.8883333333333
2015,5,3,94.7929166666667
2015,5,4,95.0254166666667
2015,5,5,94.2245833333333
2015,5,6,93.9866666666667
2015,5,7,94.79125
2015,5,8,95.55125
2015,5,9,95.75375
2015,5,10,95.4891666666667
2015,5,11,95.1520833333333
2015,5,12,95.24625
2015,5,13,95.3008333333333
2015,5,14,95.1083333333333
2015,5,15,94.7679166666667
2015,5,16,94.37375
2015,5,17,95.404347826087
2015,5,18,96.2216666666667
2015,5,19,95.9575
2015,5,20,95.5633333333333
2015,5,21,95.2929166666667
2015,5,22,95.09
2015,5,23,95.1420833333333
2015,5,24,94.8466666666667
2015,5,25,94.3595833333333
2015,5,26,94.3658333333333
2015,5,27,94.6725
2015,5,28,94.8483333333333
2015,5,29,95.8716666666667
2015,5,30,95.6666666666667
2015,5,31,94.8733333333333
2015,6,1,94.305
2015,6,2,94.6266666666667
2015,6,3,94.9058333333333
2015,6,4,95.2170833333333
2015,6,5,95.1066666666667
2015,6,6,94.3391666666667
2015,6,7,94.245
2015,6,8,94.0733333333333
2015,6,9,94.2983333333333
2015,6,10,94.5016666666667
2015,6,11,94.395
2015,6,12,93.7204166666667
2015,6,13,94.1854166666667
2015,6,14,94.8129166666667
2015,6,15,95.5158333333333
2015,6,16,95.0008333333333
2015,6,17,94.795
2015,6,18,95.2108333333333
2015,6,19,94.27
2015,6,20,94.335
2015,6,21,94.3045833333333
2015,6,22,94.6283333333333
2015,6,23,94.7895833333333
2015,6,24,94.8991666666667
2015,6,25,95.0395833333333
2015,6,26,94.9458333333333
2015,6,27,94.79625
2015,6,28,94.8104166666667
2015,6,29,94.80625
2015,6,30,94.69125
2015,7,1,94.74875
2015,7,2,94.8595833333333
2015,7,3,94.5666666666667
2015,7,4,94.1279166666667
2015,7,5,94.7554166666667
2015,7,6,95.3725
2015,7,7,94.8841666666667
2015,7,8,94.7333333333333
2015,7,9,94.0269565217391
2015,7,10,94.1054166666667
2015,7,11,93.9904166666667
2015,7,12,93.7158333333333
2015,7,13,94.01875
2015,7,14,94.3516666666667
2015,7,15,94.3333333333333
2015,7,16,93.8470833333333
2015,7,17,93.87125
2015,7,18,94.0470833333333
2015,7,19,94.1829166666667
2015,7,20,94.8304166666667
2015,7,21,94.2354166666667
2015,7,22,93.775
2015,7,23,94.2195833333333
2015,7,24,94.415
2015,7,25,94.25625
2015,7,26,94.2754166666667
2015,7,27,94.1933333333333
2015,7,28,93.1130434782609
2015,7,29,94.6516666666667
2015,7,30,95.2083333333333
2015,7,31,95.1920833333333
2015,8,1,94.46625
2015,8,2,94.77125
2015,8,3,94.8341666666667
2015,8,4,94.6554166666667
2015,8,5,94.3770833333333
2015,8,6,94.2290909090909
2015,8,7,94.0269565217391
2015,8,8,94.5283333333333
2015,8,9,94.9275
2015,8,10,95.0020833333333
2015,8,11,94.8216666666667
2015,8,12,94.54625
2015,8,13,94.7116666666667
2015,8,14,94.3720833333333
2015,8,15,94.1895833333333
2015,8,16,95.1554166666667
2015,8,17,95.1066666666667
2015,8,18,94.9
2015,8,19,94.5458333333333
2015,8,20,93.8895833333333
2015,8,21,93.7229166666667
2015,8,22,94.35625
2015,8,23,95.1666666666667
2015,8,24,95.2083333333333
2015,8,25,94.84875
2015,8,26,94.9308333333333
2015,8,27,94.5525
2015,8,28,94.3466666666667
2015,8,29,94.1783333333333
2015,8,30,93.7654166666667
2015,8,31,93.9104166666667
2015,9,1,94.0054166666667
2015,9,2,93.8433333333333
2015,9,3,94.1895833333333
2015,9,4,94.7604166666667
2015,9,5,94.6429166666667
2015,9,6,94.2604166666667
2015,9,7,94.5254166666667
2015,9,8,94.5708333333333
2015,9,9,94.8054166666667
2015,9,10,95.3804166666667
2015,9,11,95.3304166666667
2015,9,12,94.335
2015,9,13,93.5816666666667
2015,9,14,94.0320833333333
2015,9,15,93.6475
2015,9,16,94.2166666666667
2015,9,17,94.4516666666667
2015,9,18,94.545652173913
2015,9,19,94.155
2015,9,20,93.724347826087
2015,9,21,94.06875
2015,9,22,95.3441666666667
2015,9,23,95.1629166666667
2015,9,24,95.2845833333333
2015,9,25,94.7016666666667
2015,9,26,94.0129166666667
2015,9,27,94.4891304347826
2015,9,28,95.2186956521739
2015,9,29,94.915
2015,9,30,94.6708333333333
