Date        Box_A     Box_B     Box_C     EMI(=Box_A-0.5*Box_B-0.5*Box_C)
1870:1:16:0 -0.236028 -0.963993 0.323967 0.0839852
1870:2:16:0 -0.891933 -0.670406 0.192366 -0.652913
1870:3:16:0 -0.708892 -0.353176 0.182843 -0.623725
1870:4:16:0 -0.729457 -0.333903 0.00832393 -0.566668
1870:5:16:0 -0.798636 -0.602568 -0.107019 -0.443843
1870:6:16:0 -0.808334 -0.842202 -0.233316 -0.270575
1870:7:16:0 -0.698108 -0.791859 -0.244 -0.180179
1870:8:16:0 -0.611036 -0.69708 -0.0662436 -0.229374
1870:9:16:0 -0.160363 -0.785313 -0.157088 0.310838
1870:10:16:0 -0.241078 -1.0949 -0.0920501 0.352397
1870:11:16:0 -0.31788 -0.928431 -0.0189722 0.155821
1870:12:16:0 -0.432585 -0.796122 -0.127679 0.0293153
1871:1:16:0 -0.308091 -0.30802 -0.0388902 -0.134636
1871:2:16:0 -0.317031 -0.262351 -0.0593055 -0.156203
1871:3:16:0 -0.311773 -0.355261 -0.0120959 -0.128095
1871:4:16:0 -0.182046 -0.299901 -0.000404941 -0.0318928
1871:5:16:0 -0.424299 -0.489664 0.0244992 -0.191717
1871:6:16:0 -0.367356 -0.250378 -0.0302519 -0.227041
1871:7:16:0 -0.429399 -0.145554 -0.00950995 -0.351867
1871:8:16:0 -0.199858 -0.155855 -0.0789703 -0.0824455
1871:9:16:0 -0.114076 -0.327666 -0.297584 0.198548
1871:10:16:0 -0.159126 -0.30059 -0.335777 0.159057
1871:11:16:0 -0.203117 -0.244855 -0.0265299 -0.067424
1871:12:16:0 -0.41232 -0.569367 0.0294188 -0.142346
1872:1:16:0 -0.455651 -0.732123 0.0755375 -0.127358
1872:2:16:0 -0.403927 -0.789433 0.0609448 -0.0396833
1872:3:16:0 -0.258546 -0.693436 0.0862359 0.0450543
1872:4:16:0 -0.523915 -0.668828 -0.0257702 -0.176616
1872:5:16:0 -0.415721 -0.640658 0.0220342 -0.106409
1872:6:16:0 -0.44595 -0.53561 0.0705783 -0.213434
1872:7:16:0 -0.334287 -0.406904 0.18222 -0.221944
1872:8:16:0 -0.68031 -0.608158 0.338687 -0.545574
1872:9:16:0 -0.7082 -0.590126 0.384529 -0.605401
1872:10:16:0 -0.586994 -0.83766 0.155824 -0.246076
1872:11:16:0 -0.475208 -0.638162 0.125845 -0.219049
1872:12:16:0 -0.615096 -0.718998 0.175998 -0.343596
1873:1:16:0 -0.518838 -0.732146 0.277052 -0.291291
1873:2:16:0 -0.70046 -0.962811 0.11782 -0.277965
1873:3:16:0 -0.831278 -1.3661 0.0886629 -0.192561
1873:4:16:0 -0.505826 -0.758435 0.0873109 -0.170264
1873:5:16:0 -0.331311 -0.831332 0.0378266 0.0654415
1873:6:16:0 -0.52495 -0.466431 -0.0689481 -0.25726
1873:7:16:0 -0.463705 -0.333246 0.0316185 -0.312891
1873:8:16:0 -0.359525 -0.377695 -0.00729116 -0.167032
1873:9:16:0 -0.293607 -0.673315 -0.0288203 0.0574605
1873:10:16:0 -0.534283 -0.993218 -0.107903 0.0162772
1873:11:16:0 -0.503536 -0.99542 -0.109704 0.0490255
1873:12:16:0 -0.371911 -0.928311 -0.235989 0.210238
1874:1:16:0 -0.43229 -1.01855 0.0209513 0.0665094
1874:2:16:0 -0.569468 -1.17587 0.013996 0.0114672
1874:3:16:0 -0.819668 -1.01209 0.112682 -0.369965
1874:4:16:0 -0.515966 -0.890235 0.104134 -0.122916
1874:5:16:0 -0.487924 -0.359403 -0.0602314 -0.278106
1874:6:16:0 -0.444308 -0.63044 0.019912 -0.139044
1874:7:16:0 -0.526643 -0.779427 0.0672961 -0.170578
1874:8:16:0 -0.615426 -0.979405 0.0133684 -0.132407
1874:9:16:0 -0.838303 -0.818874 -0.00761622 -0.425057
1874:10:16:0 -0.945206 -0.819713 -0.159488 -0.455605
1874:11:16:0 -0.941324 -0.698194 -0.150605 -0.516925
1874:12:16:0 -0.783852 -0.697331 -0.0117364 -0.429318
1875:1:16:0 -0.433915 -0.501146 -0.0534206 -0.156632
1875:2:16:0 -0.277753 -0.372273 -0.183866 0.000316381
1875:3:16:0 -0.42181 -0.498085 -0.19483 -0.075353
1875:4:16:0 -0.729184 -0.476228 -0.0920842 -0.445028
1875:5:16:0 -0.857798 -0.894562 0.126378 -0.473706
1875:6:16:0 -0.762214 -0.68251 -0.179373 -0.331273
1875:7:16:0 -0.878976 -1.02586 -0.192638 -0.269729
1875:8:16:0 -0.837725 -0.781575 -0.0633228 -0.415276
1875:9:16:0 -0.806226 -0.80955 0.055166 -0.429034
1875:10:16:0 -0.601805 -0.86728 0.0753171 -0.205824
1875:11:16:0 -0.327452 -0.907561 0.140322 0.0561679
1875:12:16:0 -0.550203 -1.07431 -0.0418631 0.00788188
1876:1:16:0 -0.628069 -1.25963 0.0616859 -0.0290968
1876:2:16:0 -0.709742 -1.27719 0.139995 -0.141144
1876:3:16:0 -0.509225 -1.11212 0.174884 -0.0406089
1876:4:16:0 -0.671592 -1.16024 0.0670742 -0.125011
1876:5:16:0 -0.564415 -1.02505 -0.116831 0.00652307
1876:6:16:0 -0.34128 -0.716983 -0.529322 0.281872
1876:7:16:0 -0.35897 -0.393505 -0.512204 0.0938851
1876:8:16:0 -0.210669 -0.291093 -0.432259 0.151007
1876:9:16:0 -0.146925 -0.0311624 -0.444201 0.0907565
1876:10:16:0 -0.104426 0.452771 -0.294028 -0.183798
1876:11:16:0 -0.0866717 0.488659 -0.234503 -0.21375
1876:12:16:0 0.0148875 0.429125 -0.171162 -0.114094
1877:1:16:0 0.0605102 0.0953052 -0.120298 0.0730064
1877:2:16:0 0.417884 0.286162 -0.193146 0.371377
1877:3:16:0 0.302406 0.264761 -0.227439 0.283745
1877:4:16:0 0.233113 0.105848 -0.285397 0.322888
1877:5:16:0 0.366914 0.0708624 -0.240187 0.451576
1877:6:16:0 0.598225 -0.0959294 -0.229701 0.76104
1877:7:16:0 0.736965 0.957718 -0.303681 0.409947
1877:8:16:0 0.738418 1.14791 -0.334301 0.331612
1877:9:16:0 0.867712 1.78244 -0.16655 0.0597648
1877:10:16:0 1.03461 1.88156 -0.254679 0.221168
1877:11:16:0 1.06994 1.9204 -0.149484 0.184481
1877:12:16:0 1.20221 2.00512 -0.0470779 0.223186
1878:1:16:0 1.1459 1.94623 0.0109656 0.167298
1878:2:16:0 1.18003 1.86132 -0.00333003 0.251033
1878:3:16:0 0.746612 0.915131 0.0229433 0.277575
1878:4:16:0 0.539652 0.760347 0.0731469 0.122905
1878:5:16:0 0.49773 0.557319 0.0462144 0.195963
1878:6:16:0 0.809525 0.551174 -0.034056 0.550966
1878:7:16:0 0.29125 0.486661 0.115697 -0.00992927
1878:8:16:0 0.0255158 0.171986 0.160527 -0.14074
1878:9:16:0 -0.151999 -0.134256 0.192166 -0.180955
1878:10:16:0 -0.265986 -0.167123 0.153179 -0.259013
1878:11:16:0 -0.227578 -0.478187 0.22764 -0.102305
1878:12:16:0 -0.236537 -0.182779 0.168702 -0.229499
1879:1:16:0 -0.0887845 -0.0823598 0.242959 -0.169084
1879:2:16:0 -0.0985202 -0.0970095 0.176023 -0.138027
1879:3:16:0 -0.071706 -0.220516 0.12411 -0.0235034
1879:4:16:0 -0.210079 -0.335966 0.0146491 -0.0494211
1879:5:16:0 -0.470662 -0.512217 0.198825 -0.313966
1879:6:16:0 -0.627905 -0.23911 0.331499 -0.6741
1879:7:16:0 -0.64195 -0.104865 0.32374 -0.751387
1879:8:16:0 -0.559856 -0.139258 0.200013 -0.590233
1879:9:16:0 -0.508622 -0.209895 0.229209 -0.518279
1879:10:16:0 -0.66958 -0.28027 0.0381129 -0.548502
1879:11:16:0 -0.750821 -0.45285 -0.0194013 -0.514695
1879:12:16:0 -0.550446 -0.255022 -0.223612 -0.311129
1880:1:16:0 -0.374825 -0.438115 -0.0813218 -0.115106
1880:2:16:0 -0.299724 -0.0882457 -0.0723744 -0.219414
1880:3:16:0 -0.33486 -0.354637 -0.0459611 -0.134561
1880:4:16:0 -0.335734 -0.314497 -0.125508 -0.115731
1880:5:16:0 -0.404199 -0.32611 -0.178459 -0.151914
1880:6:16:0 -0.460019 -0.472206 -0.262301 -0.0927655
1880:7:16:0 -0.375829 -0.016079 -0.203595 -0.265992
1880:8:16:0 -0.383467 0.220042 -0.147941 -0.419517
1880:9:16:0 -0.257602 0.469803 -0.192538 -0.396235
1880:10:16:0 -0.0412209 0.539339 -0.163232 -0.229275
1880:11:16:0 0.135306 0.583329 -0.138596 -0.0870608
1880:12:16:0 0.214829 0.213239 -0.0649469 0.140683
1881:1:16:0 0.210575 0.131774 -0.0703371 0.179857
1881:2:16:0 0.174121 -0.0532178 -0.07915 0.240305
1881:3:16:0 0.311029 -0.0372168 0.0510227 0.304126
1881:4:16:0 0.46144 0.00699573 -0.0398312 0.477858
1881:5:16:0 0.389543 0.0949776 0.061149 0.31148
1881:6:16:0 0.28595 0.0903168 -0.0294319 0.255507
1881:7:16:0 -0.0658687 0.0528588 0.0562671 -0.120432
1881:8:16:0 0.0278343 -0.228158 -0.0982454 0.191036
1881:9:16:0 -0.0941577 -0.213211 -0.0659984 0.0454471
1881:10:16:0 -0.151476 -0.027431 -0.014097 -0.130712
1881:11:16:0 -0.226093 -0.200129 -0.0757841 -0.0881369
1881:12:16:0 -0.147095 -0.348133 0.0214546 0.0162437
