year,month,value,value_unc,nvalue,latitude,longitude,altitude,elevation,intake_height
1994,1,358.17,0.32,27,19.536,-155.576,3437,3397,40
1994,2,358.99,0.57,27,19.536,-155.576,3437,3397,40
1994,3,359.92,1.04,30,19.536,-155.576,3437,3397,40
1994,4,361.32,0.54,30,19.536,-155.576,3437,3397,40
1994,5,361.68,0.33,30,19.536,-155.576,3437,3397,40
1994,6,360.8,0.32,30,19.536,-155.576,3437,3397,40
1994,7,359.39,0.54,31,19.536,-155.576,3437,3397,40
1994,8,357.42,0.88,31,19.536,-155.576,3437,3397,40
1994,9,355.63,0.56,30,19.536,-155.576,3437,3397,40
1994,10,356.09,0.44,31,19.536,-155.576,3437,3397,40
1994,11,357.56,0.61,30,19.536,-155.576,3437,3397,40
1994,12,358.87,0.49,31,19.536,-155.576,3437,3397,40
1995,1,359.87,0.31,31,19.536,-155.576,3437,3397,40
1995,2,360.79,0.51,28,19.536,-155.576,3437,3397,40
1995,3,361.76,0.74,30,19.536,-155.576,3437,3397,40
1995,4,363.23,0.53,30,19.536,-155.576,3437,3397,40
1995,5,363.77,0.56,29,19.536,-155.576,3437,3397,40
1995,6,363.22,0.7,30,19.536,-155.576,3437,3397,40
1995,7,361.7,0.65,31,19.536,-155.576,3437,3397,40
1995,8,359.15,0.84,30,19.536,-155.576,3437,3397,40
1995,9,358.11,0.69,30,19.536,-155.576,3437,3397,40
1995,10,357.97,0.39,31,19.536,-155.576,3437,3397,40
1995,11,359.4,0.39,30,19.536,-155.576,3437,3397,40
1995,12,360.63,0.57,30,19.536,-155.576,3437,3397,40
1996,1,362.04,0.27,31,19.536,-155.576,3437,3397,40
1996,2,363.18,0.6,29,19.536,-155.576,3437,3397,40
1996,3,364.17,0.58,31,19.536,-155.576,3437,3397,40
1996,4,364.51,0.39,29,19.536,-155.576,3437,3397,40
1996,5,365.16,0.52,31,19.536,-155.576,3437,3397,40
1996,6,364.93,0.38,30,19.536,-155.576,3437,3397,40
1996,7,363.53,0.61,31,19.536,-155.576,3437,3397,40
1996,8,361.38,0.58,30,19.536,-155.576,3437,3397,40
1996,9,359.59,0.83,28,19.536,-155.576,3437,3397,40
1996,10,359.54,0.28,31,19.536,-155.576,3437,3397,40
1996,11,360.84,0.52,30,19.536,-155.576,3437,3397,40
1996,12,362.18,0.45,31,19.536,-155.576,3437,3397,40
1997,1,363.04,0.33,31,19.536,-155.576,3437,3397,40
1997,2,364.09,0.67,28,19.536,-155.576,3437,3397,40
1997,3,364.47,0.67,31,19.536,-155.576,3437,3397,40
