LAKE,Date,Temperature_deg_C,Conductivity_uS_cm,Salinity_ppt,Depth_m
B,04-07-1994,19,450,0.1,1
B,18-07-1994,22,485,0.1,1
B,28-07-1994,22,495,0,1
B,18-08-1994,20,5050,0,1
B,04-05-1995,9,395,0,1
B,26-05-1995,12,420,0,1
B,09-06-1995,18,470,0,1
B,23-06-1995,21,500,0,1
B,11-07-1995,23,500,0,1
B,21-07-1995,22,500,0,1
B,02-08-1995,19,500,0,1
B,24-08-1995,17,440,0,1
B,08-05-1996,6.5,290,0.1,1
B,22-05-1996,12.5,330,0,1
B,06-06-1996,17.5,375,0,1
B,18-06-1996,19,395,0.1,1
B,03-07-1996,22,455,0,1
B,19-07-1996,22,425,0,1
WC,03-05-2010,8.8,555,0.4,1
WW,03-05-2010,8.8,556,0.4,1
D,05-05-2010,5.1,274.5,0.2,1
B,02-08-1996,22,430,0,1
B,19-08-1996,21,440,0,1
B,08-05-1997,9,360,0.1,1
B,26-05-1997,13,390,0.1,1
B,09-06-1997,19.5,490,0.1,1
B,25-06-1997,19,490,0.1,1
B,08-07-1997,19.5,500,0.1,1
B,24-07-1997,22.5,570,0,1
B,05-08-1997,25,590,0,1
B,21-08-1997,18.5,495,0.05,1
B,15-05-1998,12,650,0.5,1
B,01-06-1998,15.2,360,0.2,1
B,15-06-1998,17.5,500,0,1
B,30-06-1998,18,550,0.25,1
B,15-07-1998,19.5,350,0.1,1
B,31-07-1998,19,330,0.2,1
B,21-08-1998,20,440,0.2,1
B,22-09-1998,14.5,400,0.1,1
B,17-05-1999,12,240,0,1
B,30-05-1999,15.5,400,0,1
B,26-05-2004,10.5,330.8999938965,0.200000003,1
B,04-06-2004,15.1999998093,373.299987793,0.200000003,1
B,28-06-2004,19.2999992371,412.6000061035,0.200000003,1
B,12-07-2004,20.3999996185,420.3999938965,0.200000003,1
B,29-07-2004,19.3999996185,385.799987793,0.200000003,1
B,11-08-2004,18.1000003815,359.5,0.200000003,1
C,28-05-1998,14.5,1150,0.75,1
C,12-06-1998,17.5,820,0.2,1
C,24-06-1998,14.5,790,0.2,1
C,13-07-2004,19.6000003815,1345,0.8000000119,1
C,26-07-2004,22.3999996185,1402,0.6999999881,1
C,10-08-2004,19.1000003815,1321,0.8000000119,1
C,11-05-2005,7.6,885,0.7,1
C,24-05-2005,11.6,990,0.7,1
D,27-05-1996,9,260,0,1
D,24-06-1996,13,315,0,1
B,14-06-1999,18,400,0,1
B,04-07-1999,18,460,0.25,1
B,13-07-1999,21,435,0,1
B,06-08-1999,22,455,0,1
B,20-08-1999,20,490,0.2,1
B,28-08-1999,17,485,0.2,1
B,07-05-2000,13.5,500,0.1,1
B,19-05-2000,14.5,450,0.2,1
B,05-06-2000,16,455,0.25,1
B,20-06-2000,15.5,470,0,1
B,07-07-2000,20.5,485,0.1,1
B,24-07-2000,21.5,650,0.5,1
B,08-08-2000,22,470,0.1,1
B,22-08-2000,19,550,0.1,1
B,04-05-2001,9.2,409,0,1
B,16-05-2001,14,480,0.5,1
B,06-06-2001,15.1,475,0,1
B,15-06-2001,17,500,0,1
B,25-06-2001,19.5,520,0,1
B,13-07-2001,24,500,0,1
B,27-07-2001,22,460,0,1
B,09-08-2001,21.5,495,0,1
B,28-08-2001,20,490,0,1
B,08-05-2002,6,355,0.5,1
B,23-05-2002,10.5,480,0.5,1
B,05-06-2002,16.5,490,0.4,1
B,20-06-2002,18,437,0.4,1
B,03-07-2002,21,459,0.2,1
B,22-07-2002,22.5,2610,1.8,1
B,06-08-2002,16.5,420,0.1,1
B,19-08-2002,16,415,0.3,1
B,06-05-2003,12.3,539,0.3,1
B,21-05-2003,12.4,529,0.3,1
B,04-06-2003,16.9,523,0.3,1
B,20-06-2003,21.3,503,0.2,1
B,27-06-2003,18.9,517,0.3,1
B,14-07-2003,21.3,526,0.3,1
B,29-07-2003,23.3,487,0.2,1
B,13-08-2003,23.2,470,0.2,1
B,20-08-2003,22.9,469,0.2,1
B,07-05-2004,15.3000001907,370.5,0.200000003,1
B,10-05-2005,10,332.2,0.2,1
B,20-05-2005,12.7,360.6,0.2,1
B,03-06-2005,15.1,387,0.2,1
B,17-06-2005,19.2,421.7,0.2,1
B,30-06-2005,17.7,409.2,0.2,1
B,15-07-2005,23.4,459,0.2,1
B,29-07-2005,19.6,395.3,0.2,1
B,11-08-2005,20.1,388.8,0.2,1
B,08-05-2006,12.1,375,0.2,1
B,23-05-2006,16.8,603,0.4,1
B,05-06-2006,18.1,642,0.4,1
B,19-06-2006,17.3,621,0.4,1
B,04-07-2006,23.5,647,0.3,1
B,17-07-2006,23.6,574,0.3,1
B,31-07-2006,22.2,530,0.3,1
B,11-08-2006,21.7,547,0.3,1
B,28-08-2006,20,501,0.3,1
B,07-05-2007,13.4,388,0.2,1
B,22-05-2007,14.3,421.3,0.3,1
B,04-06-2007,17.2,446.3,0.3,1
B,19-06-2007,17.7,441.2,0.2,1
B,03-07-2007,21.1,481,0.3,1
B,16-07-2007,23.4,513,0.3,1
B,30-07-2007,25.6,535,0.3,1
B,13-08-2007,19.6,526,0.3,1
B,22-08-2007,17.3,533,0.3,1
C,05-07-1994,20.5,1300,1.2,1
C,22-07-1994,22,1350,0.75,1
C,03-08-1994,23,1350,0.75,1
C,23-08-1994,20.5,1300,0.75,1
C,19-05-1995,8.5,1000,1.5,1
C,29-05-1995,15,600,0.3,1
C,08-06-1995,16,1050,0.8,1
C,13-07-1995,24,1250,0.75,1
C,26-07-1995,21,1200,0.75,1
C,15-08-1995,18,1100,0.5,1
C,31-08-1995,18.5,1100,0.5,1
C,17-05-1996,8,820,0.8,1
C,31-05-1996,14.5,950,0.6,1
C,13-06-1996,21,1100,0.1,1
C,27-06-1996,17,1000,0.5,1
C,15-07-1996,22,1100,0.5,1
C,26-07-1996,20,1080,0.5,1
C,14-08-1996,22,1050,0.5,1
C,26-08-1996,21,1100,0.5,1
C,20-05-1997,11,950,0.75,1
C,06-06-1997,18,1200,1,1
C,20-06-1997,19.5,1250,0.5,1
C,02-07-1997,17,1200,0.9,1
C,19-07-1997,23,1300,0.5,1
C,01-08-1997,22,1300,0.9,1
C,15-08-1997,20,1300,0.9,1
C,14-05-1998,11,1000,0.5,1
C,13-07-1998,22,980,0.8,1
C,29-07-1998,25,1300,0.75,1
C,18-08-1998,21,1300,0.75,1
C,23-09-1998,16.5,1250,1,1
C,18-05-1999,13.5,100,0.75,1
C,03-06-1999,14,1100,0,1
C,17-06-1999,17.5,1200,1,1
C,05-07-1999,18,1225,0.75,1
C,15-07-1999,19,1250,0.75,1
C,26-07-1999,21,1300,0.8,1
C,13-08-1999,21,1350,0.75,1
C,22-08-1999,22,1300,0.9,1
C,05-05-2000,11,1000,0.75,1
C,19-05-2000,11.5,1100,1,1
C,14-06-2000,15.5,1100,0.8,1
C,28-06-2000,16,2150,1.5,1
C,14-07-2000,22.5,1350,1,1
C,30-07-2000,21.5,1450,1,1
C,12-08-2000,21,1300,0.75,1
C,25-08-2000,20,1910,1.1,1
C,16-05-2001,,1020,0.4,1
C,01-06-2001,13.8,1100,0.5,1
C,13-06-2001,16.4,1100,0.5,1
C,26-06-2001,18.5,1200,0.5,1
C,12-07-2001,19,1990,1,1
C,25-07-2001,20.5,1250,0.5,1
C,08-08-2001,23,1290,0.5,1
C,22-08-2001,22.1,1270,0.5,1
C,13-05-2002,8.5,1100,1,1
C,27-05-2002,11.5,1230,1.1,1
C,11-06-2002,12.7,1210,0.8,1
C,21-06-2002,17,1280,1,1
C,05-07-2002,20,1380,1,1
C,23-07-2002,23,334,2.2,1
C,12-08-2002,20,1320,1,1
C,28-08-2002,19.9,1330,1,1
C,13-05-2003,10.1,1449,0.7,1
C,26-05-2003,11.7,1490,0.8,1
C,09-06-2003,16.1,1507,0.8,1
C,24-06-2003,19.7,1519,0.8,1
C,07-07-2003,19.2,1525,0.8,1
C,16-07-2003,22.1,1518,0.8,1
C,05-08-2003,21.9,1528,0.8,1
C,18-08-2003,23.8,1465,0.8,1
C,06-05-2004,7,1003,0.8000000119,1
C,19-05-2004,10.5,1091,0.8000000119,1
C,02-06-2004,11.6000003815,1112,0.8000000119,1
C,15-06-2004,14,1176,0.8000000119,1
C,29-06-2004,18.7000007629,1323,0.8000000119,1
C,06-06-2005,14.3,1060,0.7,1
C,20-06-2005,20.4,1238,0.7,1
C,04-07-2005,19.2,1185,0.7,1
C,18-07-2005,21.9,1311,0.7,1
C,04-08-2005,21.8,1291,0.7,1
C,15-08-2005,19.6,1238,0.7,1
C,10-05-2006,10.1,1023,0.7,1
C,25-05-2006,15.6,1311,0.8,1
C,06-06-2006,18.5,1405,0.8,1
C,20-06-2006,18.8,1388,0.8,1
C,06-07-2006,21.6,1401,0.8,1
C,18-07-2006,22.9,1370,0.7,1
C,01-08-2006,21.7,1279,0.7,1
C,15-08-2006,21.4,1316,0.7,1
C,29-08-2006,20.1,1262,0.7,1
C,20-01-2007,0.3,811,,1
