siteID,lakeName,latitude,longitude,accessLat,accessLon,Altitude,notes
2,Nickle,49.585871,-103.779345,49.58457,-103.78152,560,Regional park boat launch.  Only have surface pH.  Sheet didn’t have the other column so it was not done. Emergent macrophytes at center of lake
4,McDonald,49.193596,-103.24316,49.156317,-103.135633,541,Follow the winding gravel road past the dam to a paved boat launch.  There are sign that say boat launch.  It is on the arm of the lake but easy once you get out there
5,Blackstrap,51.785259,-106.438293,51.790395,-106.420206,542,Provincial park boat launch
6,Porter,52.193087,-106.28688,52.187683,-106.279367,812,flooding in ditches accessed at a sign to road at a T intersection.
7,Pike,51.897708,-106.816893,51.90214,-106.818991,485,Provincial park boat launch
8,WhiteBear,49.773227,-102.25748,49.7597,-102.270667,736,Turn on the road that takes you to the golf course.  Once on that road turn right on the first roat after the 'gate house' and follow that to the water.  We launched right between two fishing shacks.
9,Kenosee,49.822812,-102.297505,49.827117,-102.308667,743,In the Provincial park.  Right at the boat launch.
10,Adrian,49.694355,-102.871946,49.69625,-102.86815,610,Asked farmer for access and they pointed us to appropriate spot.  There was a path that clearly was used for getting farm vehicles in and out.  This is where the girl said they went in swimming.  Well water sample was also obtained from house.
11,Grassy,51.239566,-104.627108,51.242145,-104.635348,558,Used iphone for GPS and the numbers didn’t make sense.  These GPS locations are estimateds from google.  Down multiple back roads into a pasture.  Access was difficult and used Scott's side by side  to get into the site.  Could walk in but ground is very uneven from cows walking around.  Land is owned by Dean Sentes (maybe) it was someone the Sauer (HAH bf) family contacted
12,Reesor,49.664684,-110.105767,49.66544,-110.104474,1242,Boat Launch in campground
13,Unknown 3,50.649814,-108.971851,50.646667,-108.962683,700,Asked farmer in area for access and he said we could enter near the abandoned house where there was a path.  Not worth re-sampling unless in the spring
14,Bitter,50.096027,-109.789666,50.10648,-109.79765,707,Pulled off to side of the road on 635 south of the lake
15,Gull,50.109735,-108.498666,50.106933,-108.49825,782,little road that goes out to something that looks like gas pump.  Pulled off to the side of the road to park.
16,Vincent,50.222664,-108.944649,50.232617,-108.961481,689,sample was taken as far as I could walk in.  Took a long long way around in some amazing hills.  Took long way around went through back road community pasture.  There were main grids that went there and were better once we left the lake.
17,Elkwater,49.667517,-110.294373,49.66202,-110.29042,1271,Elkwater Marina
18,Mason,50.361342,-109.353375,50.350116,-109.349427,691,"road through pasture, asked farmer for permission and he was ok with us accessing lake.  The entrance into the lake was rockey.  The acces point was a guess because none was recorded"
19,Cypress,49.472363,-109.473664,49.45847,-109.50314,983,Dock right off grid road
20,Ingebright,50.356085,-109.323948,50.353566,-109.336466,681,access points is a guess because no number recorded.  Went through  fence that was open to a path until we reached the lake
21,Harris,49.815004,-109.503615,49.81359,-109.49278,849,Best access was on the south side of the lake.  Need to open barbed wire fence to get in.
22,Freefight,50.40064,-109.112534,50.396267,-109.113217,705,In great sand hills so roads are sandy and would be a nightmear if they were wet.  Turned of at a maintance shop and went through a gate to drive down to the water.  The drive down to the lake and the walk were very rocky.
23,Junction,49.959172,-109.510544,49.96781,-109.52005,757,Drive past the dam looks like a small road to lake
24,Eyebrow,50.955291,-106.18512,50.9811,-106.21029,526,off bridge on road 627
25,Alsask,51.337208,-109.876513,51.340517,-109.869017,638,old mine so really easy to get down to.  The road went right to what was probably a boat launch
26,Luck,51.069232,-107.100618,51.05314,-107.08838,585,Drove out on to a barrier in the center of the lake
27,Clearwater,50.873253,-107.929351,50.88755,-107.75196,681,Park boat launch.  GPS access was not at the lake so I think it was just written down wrong.  Should be able to find boat launch
28,Kindersley,51.421035,-109.101516,51.41825,-109.098,686,off the west side of the road.
29,Snipe,51.233494,-108.858046,51.217717,-108.852833,649,Generald Wells (962-3939) has access to the lake and brought us down to this location.  There was also a fence around most of the lake that he lowered in order for us to access.
30,Barber,51.369423,-107.664354,51.357983,-107.667,551,Through hold in fence. Steep drop off to the shore line
31,Handsome,50.489624,-107.383296,50.49749,-107.39072,709,Enter northern end of the lake.  Leave dride road and open fence into a field.  Drive towards the lake and opened another fence.  Watch out for Rocks area is very rocky.  The well water database has some names but definitely go talk to them next time
32,Cutbank,50.53318,-106.997408,50.54305,-107.00177,700,Easy access from the grid
33,Dewey,50.583209,-107.068083,50.57698,-107.07491,731,Opened a gate into a field on the south west side of the lake.  Followed path for a while there made our own path to lake
34,Old Wives,50.095036,-105.992192,50.03027,-105.87352,666,Exited hwy 2 onto grid road near south east end of the lake.  Opened barbed wire fence and drove through pasture land to lake.  Did not find owner of land
35,Lonetree,49.081147,-108.258855,49.076767,-108.2539,858,"Searched for a long time before gaining access.  Turned off major grid I think here 49.072432,-108.232634 there were some grain bins there."
36,Shoe,49.715906,-105.356319,49.7182,-105.36205,683,Road(gravel) south of orinston. Follow to salt pile and free style a path to the lake.  Watch out very uneven ground
37,Island,49.129387,-108.226411,49.133655,-108.23435,877,GPS is a guess none written down.  Accessed through channel on west side of lake
38,Willow Bunch,49.447147,-105.461306,49.46774,-105.64722,667,side of Hwy 36 pull of right after the bridge
39,Thomson,49.771287,-106.597559,49.76439,-106.58028,708,Regional park follow signs to boat launch
