Lake,Date,co2Flux
B,04-07-1994,11.389381848
B,13-05-2008,6.2215426147
B,27-05-2008,8.1487477419
B,10-06-2008,-1.7153155845
B,24-06-2008,24.665960557
B,08-07-2008,18.3508356219
B,22-07-2008,-3.8859678122
B,06-08-2008,-22.0733693636
B,19-08-2008,-10.2891297077
B,03-09-2008,-10.6466463827
B,12-05-2009,-0.5604629161
B,21-05-2009,-9.0882452104
B,09-06-2009,-2.7912478086
B,23-06-2009,-26.3703412543
B,07-07-2009,1.9251119769
B,21-07-2009,-4.9301623834
B,05-08-2009,-25.8222443935
B,18-08-2009,-59.9874551009
B,01-09-2009,87.7692957079
B,10-05-2010,-6.3978624222
B,25-05-2010,1.8818422426
B,07-06-2010,-10.6310426416
B,21-06-2010,-44.8104322764
B,03-08-2010,-69.9457916011
B,16-08-2010,-131.0710700399
B,30-08-2010,-157.7561547573
B,05-07-2010,-31.7204563449
B,14-07-2010,21.5788943405
C,15-05-2008,-6.3376519164
C,29-05-2008,-11.6517534059
C,12-06-2008,1.4581311118
C,26-06-2008,-5.4672377223
C,10-07-2008,7.2854833161
C,24-07-2008,0.3363800538
C,08-08-2008,39.4128074715
C,21-08-2008,95.6756106544
C,05-09-2008,84.6833706026
C,15-05-2009,-6.8395285251
C,28-05-2009,-12.5493294943
C,12-06-2009,-14.3425173794
C,25-06-2009,-5.7900318901
C,09-07-2009,6.0943766748
C,23-07-2009,-1245.5646108671
C,07-08-2009,-65.1457518548
C,20-08-2009,-36.9186701322
C,03-09-2009,0.7452155793
C,12-05-2010,-0.9991441225
C,27-05-2010,-11.4707543676
C,09-06-2010,-10.7583978007
C,23-06-2010,-28.7374876508
C,21-07-2010,-65.3880513503
C,05-08-2010,-90.4342117471
C,18-08-2010,-189.9108807142
C,01-09-2010,67.0172946085
D,07-05-2008,-0.2302764892
D,22-05-2008,-6.6317671725
D,05-06-2008,-5.4707664986
D,19-06-2008,0.1087662945
D,03-07-2008,-6.7190737973
D,17-07-2008,4.7863866692
D,31-07-2008,-0.572974635
D,14-08-2008,-10.4088756121
D,28-08-2008,-5.5086700431
D,07-05-2009,-13.809180711
D,26-05-2009,-7.788344293
D,04-06-2009,-0.7052930425
D,18-06-2009,-17.8079636358
D,01-07-2009,-10.8893450893
D,16-07-2009,-45.799160424
D,30-07-2009,-10.437971926
D,13-08-2009,-55.1887385486
D,27-08-2009,-14.6409575415
D,05-05-2010,-8.640735467
D,19-05-2010,-1.8521314164
D,02-06-2010,-1.3637631316
D,16-06-2010,-23.7371975375
D,19-07-2010,-36.9682367674
D,28-07-2010,-39.4451485225
D,11-08-2010,-57.5977554771
D,24-08-2010,34.7636118294
K,10-05-2008,-9.0462558785
K,24-05-2008,-12.9633324771
K,07-06-2008,-19.701019925
K,21-06-2008,-17.2915752703
K,06-07-2008,-24.1498711215
K,19-07-2008,-21.8097923426
K,02-08-2008,-18.4321905629
K,16-08-2008,-27.3196776413
K,30-08-2008,-22.9568804251
K,18-09-2008,-18.0175493054
K,01-11-2008,-1.7655733984
K,09-05-2009,-9.6599043659
K,23-05-2009,-16.6802042045
K,06-06-2009,-14.8500158678
K,20-06-2009,-33.6361653532
K,04-07-2009,-74.1795229511
K,18-07-2009,-117.1908186855
K,01-08-2009,-100.6316815361
K,15-08-2009,-90.2021303714
K,29-08-2009,NA
K,07-05-2010,-3.0993407587
K,21-05-2010,-17.22610836
K,04-06-2010,-11.8472456368
K,18-06-2010,-20.7713744798
K,30-07-2010,-69.2864888531
K,13-08-2010,-106.0447042637
K,27-08-2010,-10.4487138747
L,17-05-2008,20.0193896771
L,31-05-2008,-8.4293361078
L,14-06-2008,-7.6957926263
L,02-07-2008,4.8043147804
L,12-07-2008,22.0313825218
L,26-07-2008,-4.8314778805
L,09-08-2008,-16.0609883711
L,27-08-2008,-15.7291714237
L,06-09-2008,-14.9075393437
L,16-05-2009,-9.3828033407
L,30-05-2009,-6.7240077248
L,13-06-2009,-14.511012614
L,27-06-2009,-1.9317162198
L,11-07-2009,-23.4921309438
L,25-07-2009,-34.3513836605
L,08-08-2009,-30.6254095451
L,22-08-2009,-24.0699999265
L,05-09-2009,-10.3740703764
L,14-05-2010,20.7734488663
L,28-05-2010,-15.0273548577
L,11-06-2010,-22.2983426122
L,25-06-2010,-25.6032233831
L,23-07-2010,-80.4036527455
L,06-08-2010,-70.0298573598
L,20-08-2010,-139.8925415814
L,03-09-2010,1.0126680224
WW,06-05-2008,-12.5997736495
WW,21-05-2008,-2.9609322279
WW,03-06-2008,-10.5037434651
WW,17-06-2008,-10.5290998749
WW,01-07-2008,-25.356921764
WW,15-07-2008,-10.3436836645
WW,29-07-2008,-37.6602843469
WW,12-08-2008,2.3851718384
WW,26-08-2008,-20.9997427892
WW,05-05-2009,137.7269586778
WW,20-05-2009,944.1668701519
WW,02-06-2009,18.8567517445
WW,16-06-2009,-24.1594123363
WW,30-06-2009,-21.1624351533
WW,14-07-2009,-94.9834593514
WW,28-07-2009,-76.6171103283
WW,11-08-2009,-126.2611954201
WW,25-08-2009,-55.8180448936
WW,03-05-2010,-0.9690265324
WW,17-05-2010,-2.3896461389
WW,31-05-2010,15.2235433003
WW,14-06-2010,-28.2826057028
WW,26-07-2010,-56.5219358655
WW,09-08-2010,-89.3357398213
WW,23-08-2010,-3.9376772524
WW,28-06-2010,11.1977491777
WW,12-07-2010,-37.9060734229
