lake,Date,pH,Alk (uEq/L),T,Cond,atm pCO2,Bar. Prs. (kP),Altitude (m),Ionic Strength,pK1,pK2,ao,a1,a2,pKH,DIC uM,CO2 uM,pCO2 uatm,equil CO2,log CO2,CO2:CO2 sat.,alpha,flux  mmol/m2/day,enh flux
B,01-06-1998,9.1,997.3709394142,15.2,360,370,101.325,509.3,0.0063,6.364424133,10.2896843721,0.001723786,0.9376898561,0.0605863579,1.3370272,933.3333333333,1.6088669396,34.9580603288,15.9532592172,0.2065201275,,1.578273756,-15.1476782451,-23.9071830384
B,02-07-2013,9.78,3788.3363255655,24.5,583,370,101.325,509.3,0.0102025,6.2483559892,10.1613854569,0.0002076554,0.7062966716,0.293495673,1.4599825,2921.6666666667,0.6066997481,17.4967068157,12.019713663,-0.2170261854,,7.6032775353,-12.0521426941,-91.6357857978
B,02-08-1995,8.1,,19,500,370,101.325,509.3,0.00875,6.3146160452,10.2267701808,0.0160094178,0.9766961867,0.0072943956,1.38873, ,,,14.1627184595,,,1.1401155219,,
B,02-08-1996,8.27,,22,430,370,101.325,509.3,0.007525,6.2826476841,10.2074547363,0.0100754131,0.9786224533,0.0113021337,1.42812, ,,,12.9347077886,,,1.3531295393,,
B,02-08-2011,8.2,2978.5977104784,23,621,370,101.325,509.3,0.0108675,6.2643337495,10.1705689978,0.011343741,0.9781885038,0.0104677552,1.44097,2973.0083333333,33.7250366598,930.9415846454,12.5575993245,1.5279524304,,1.3603510467,22.3528138261,30.4076736851
B,02-09-2008,8.9,2717.2500184269,15.3,380.3,370,101.325,509.3,0.00665525,6.3623662725,10.2850232299,0.0027772893,0.9577559372,0.0394667735,1.3384137,2612.5,7.2556683695,158.1579854453,15.9024091046,0.8606774245,,1.3875896014,-9.1309582162,-12.6700226715
B,03-06-2005,8.9,2738.5721701925,15.1,387,370,101.325,509.3,0.0067725,6.3644114904,10.2860644216,0.0027906264,0.9578339008,0.0393754729,1.3356393,2633.3333333333,7.3486494521,159.1647278499,16.0043235217,0.866207531,,1.3721280845,-9.1403918174,-12.5417883163
B,03-06-2013,8.56,2881.2431702848,16,469,370,101.325,509.3,0.0082075,6.3506169531,10.2630438125,0.0060183117,0.9746702815,0.0193114068,1.34808,2835,17.0619136878,380.2837261571,15.5523715068,1.2320277406,,1.2136309187,1.5940765431,1.9346205796
B,03-07-1996,8.69,,22,455,370,101.325,509.3,0.0079625,6.2816623497,10.2035133988,0.003774913,0.9665951179,0.0296299691,1.42812, ,,,12.9347077886,,,1.8414135636,,
B,03-07-2002,7.8,,21,459,370,101.325,509.3,0.0080325,6.2930347878,10.212725151,0.0300677138,0.9661968573,0.0037354289,1.41513, ,,,13.3274364983,,,1.1045737492,,
