Lake,Date,Temp_C,Wind_ms,Salinity_ppt
B,04-07-1994,19.0833333333,4.060,0
B,01-06-1998,15.2,4.06,0
B,02-07-2013,24.5,4.06,0
B,02-08-1995,19,4.06,0
B,02-08-1996,22,4.06,0
B,02-08-2011,23,4.06,0
B,02-09-2008,15.3,4.06,0
B,03-06-2005,15.1,4.06,0
B,03-06-2013,16,4.06,0
B,03-07-1996,22,4.06,0
B,03-07-2002,21,4.06,0
B,03-07-2007,21.1,4.06,0
B,03-08-2010,23,4.06,0
B,04-05-1995,9,4.06,0
B,04-05-2001,9.2,4.06,0
B,04-06-2003,16.9,4.06,0
B,04-06-2004,15.1999998093,4.06,0
B,04-06-2007,17.2,4.06,0
B,04-06-2012,16.2,4.06,0
B,04-07-1994,19,4.06,0
B,04-07-1999,18,4.06,0
B,04-07-2006,23.5,4.06,0
B,04-07-2011,21.9,4.06,0
B,04-08-2009,19.3,4.06,0
B,05-05-1999,,4.06,0
B,05-06-2000,16,4.06,0
B,05-06-2002,16.5,4.06,0
B,05-06-2006,18.1,4.06,0
B,05-07-2010,22.2,4.06,0
B,05-08-1997,25,4.06,0
B,05-08-2008,21,4.06,0
B,05-08-2014,23.4,4.06,0
B,06-05-2003,12.3,4.06,0
B,06-06-1996,17.5,4.06,0
B,06-06-2001,15.1,4.06,0
B,06-06-2011,14.9,4.06,0
B,06-07-2009,20.8,4.06,0
B,06-08-1999,22,4.06,0
B,06-08-2002,16.5,4.06,0
B,07-05-2000,13.5,4.06,0
B,07-05-2004,15.3000001907,4.06,0
B,07-05-2007,13.4,4.06,0
B,07-05-2012,9.8,4.06,0
B,07-06-2010,15.8,4.06,0
B,07-07-2000,20.5,4.06,0
B,07-07-2008,21.7,4.06,0
B,07-07-2014,21.1,4.06,0
B,08-05-1996,6.5,4.06,0
B,08-05-1997,9,4.06,0
B,08-05-2002,6,4.06,0
B,08-05-2006,12.1,4.06,0
B,08-06-2009,13.7,4.06,0
B,08-07-1997,19.5,4.06,0
B,08-08-2000,22,4.06,0
B,09-05-2011,9.5,4.06,0
B,09-06-1995,18,4.06,0
B,09-06-1997,19.5,4.06,0
B,09-06-2008,15.6,4.06,0
B,09-06-2014,16.9,4.06,0
B,09-08-2001,21.5,4.06,0
B,10-05-2005,10,4.06,0
B,10-05-2010,8,4.06,0
B,11-05-2009,9.8,4.06,0
B,11-07-1995,23,4.06,0
B,11-08-2004,18.1000003815,4.06,0
B,11-08-2005,20.1,4.06,0
B,11-08-2006,21.7,4.06,0
B,12-05-2008,10.3,4.06,0
B,12-05-2014,6.7,4.06,0
B,12-07-2004,20.3999996185,4.06,0
B,12-08-2013,20.5,4.06,0
B,13-07-1999,21,4.06,0
B,13-07-2001,24,4.06,0
B,13-07-2011,21.6,4.06,0
B,13-08-2003,23.2,4.06,0
B,13-08-2007,19.6,4.06,0
B,13-08-2012,22.1,4.06,0
B,14-06-1999,18,4.06,0
B,14-07-2003,21.3,4.06,0
B,14-07-2010,20.1,4.06,0
B,15-05-1998,12,4.06,0
B,15-06-1998,17.5,4.06,0
B,15-06-2001,17,4.06,0
B,15-07-1998,19.5,4.06,0
B,15-07-2005,23.4,4.06,0
B,15-07-2013,21.1,4.06,0
B,15-08-2011,21.8,4.06,0
B,16-05-1995,,4.06,0
B,16-05-2001,14,4.06,0
B,16-06-2004,,4.06,0
B,16-07-2007,23.4,4.06,0
B,16-07-2012,23.1,4.06,0
B,16-08-2010,19.5,4.06,0
B,17-05-1999,12,4.06,0
B,17-06-2005,19.2,4.06,0
B,17-06-2013,17.4,4.06,0
B,17-07-2006,23.6,4.06,0
B,17-08-2009,17.7,4.06,0
B,18-06-1996,19,4.06,0
B,18-06-2012,17.3,4.06,0
B,18-07-1994,22,4.06,0
B,18-08-1994,20,4.06,0
B,18-08-2008,21.3,4.06,0
B,18-08-2014,23,4.06,0
B,19-05-2000,14.5,4.06,0
