sampleID,siteID,lakeName,latitude,longitude,sampleDate,TOD,secchi,sampleDepth,wind,comments
4,2,Nickle,49.585871,-103.779345,2013-07-29,7:31:00 AM,0.79,5.7,0,no livestock visible but does appear to be pasture land.
5,4,McDonald,49.193596,-103.24316,2013-07-29,1:16:00 PM,1.5,14.5,0,Waited out storm for two hours prior to sampling.  Filamentous green algae bloom.  Sam to the south of the sampling location.  Connectivity looks complex with multiple inflows into the lake but no small streams evident from sampling point.  Shoreline had bands of eroding/ exposed rocks that looked sedimenary (not bedrock)
6,5,Blackstrap,51.785259,-106.438293,2013-07-31,9:00:00 AM,1.6,7.9,0,all samples were collected on July 30th and the 31st we came back for the profile.  The sample weather information is for the day of the profile.  In the valley surrounding the lake there is intense agriculture with irrigation and development of large homes.  A possible pump house at lake edge.
7,6,Porter,52.193087,-106.28688,2013-07-31,11:23:00 AM,1.825,4,17,escavation sites around the area that look like sand or gavel pits.  Road closure signs all around the area for flooding. Sediments were light brown/grey at the surface but the deeper sediment was black.  Sediment was VERY solid.  Anchor had abundance of macrophytes on it.  Although towes were shallow there were lots of zoops.  Looks like it is flooded out with lots of dead trees around shore and a steep drop off.
8,7,Pike,51.897708,-106.816893,2013-07-31,2:56:00 PM,0.99,2.5,11,Calibration is only for first sample.  Remainder of the samples calibrated at 83.7.  On side of lake there is a large pool and waterslide which might be using flitered lake water so that could be a possible outflow.  There was an aquatic weed harvester on the lake while sampling.  Lily pads and TONES of macrophyes
9,8,WhiteBear,49.773227,-102.25748,2013-08-01,8:00:00 AM,1.5,8.5,12,Calibration changed after 2.5m to 101.7. On a native reserve.  Well maintained sandy beach.  Along the shoreline there aer lots of marshy areas and macrophytes.  In the north east there are marophytes almost to the middle of the lake.  Small fishing shaks for winter fishing all along the shore.  They must fish in here A LOT
10,9,Kenosee,49.822812,-102.297505,2013-08-01,10:18:00 AM,0.98,7.4,14,"Golf course near the lake, sandy beach with imported sand for swimming.  Provincial Park.  Large filamentous green algal bloom (after looking at it more it looked like blades of grass so probably aphani).  Little kenosee lake flows into kenosee.  From previous experience little kenosee has many bays and is relatively deep with no development on shores"
11,10,Adrian,49.694355,-102.871946,2013-08-01,1:40:00 PM,0.45,1.2,20,All farmland in catchment.  Small farm to the NW. Intense oil rigs in area we can see 10 rigs from the boat.  Macrophyte very dense difficult to use motor had to pattle most of the way
12,11,Grassy,51.239566,-104.627108,2013-08-04,2:16:00 PM,1.47,2,12,"No cows currently present but evidence that they were here earlier in the season.  Local knowledge indicates the lake is ""alkali"" but YSI said it was fresh.  Had to change batteries and membrane in YSI to get it to calibrate"
13,12,Reesor,49.664684,-110.105767,2013-08-06,,0.65,5,35,Not allowed to use motor but the deepest point was close to the boat launch so it wasn’t too bad.  Connectivity 1 and 1 the inflow wasn’t flowing so suggested its ephemeral.  Littoral survey had 40 forest so changed to sand… most likely to be sand between the cobbles.
14,13,Unknown 3,50.649814,-108.971851,2013-08-05,10:00:00 AM,0,0.05,15,YSI out of a bottle lake sampling point was too shallow to use YSI.  Basically dried up and the man we talked to said that some years it dries up enough to walk across.  Looks like it was there garbage/ junk yard in the past.  EXTRODINARILY SALTY.  The mud/marsh made entrance impossible so I went into water as far as possible in waiters but the mud was like quick sand.  Didn’t really look like there was much more water out deeper.  Used the access point as the sample point because we sampled wherever we could get water.
15,14,Bitter,50.096027,-109.789666,2013-08-06,10:00:00 AM,0.03,0.9,12,Not visible inflow and outflow.  Lake is surrounded by extensive pasture land with LOTS of cows present.
16,15,Gull,50.109735,-108.498666,2013-08-06,12:01:00 PM,0.665,5,25,Re-calibration starting at 1.5m- 4m calibration was 97.6%.  Started to white cap.   Oil rigs near lake and town close.  Entrance road splits the lake in 1/2.  Road would be very suceptable to flooding.  2 permenant homes on lake and one trailer.
17,16,Vincent,50.222664,-108.944649,2013-08-05,,0.1,0.1,0,This is not really a lake it’s a dried up valley bed that is very mucky and impossible to get in.  Cant see any inflow or out flow.  Looks like a large body of water on maps but cant see any other location to access the water.
18,17,Elkwater,49.667517,-110.294373,2013-08-06,1:30:00 PM,1.73,7.9,28,Provincial park assume one inflow and outflow but none visible from sampling site
19,18,Mason,50.361342,-109.353375,2013-08-07,8:33:00 AM,0.24,1.9,5,dike at inflow where we entered.  According to local farmer the dike was made wrong and now the lake is drying up so they have a small inflow from the other connecting lake
20,19,Cypress,49.472363,-109.473664,2013-08-07,8:35:00 AM,1.54,5.6,0,Agriculture by the lake and now inflows or outflows visible.  It was raining during sampling
21,20,Ingebright,50.356085,-109.323948,2013-08-07,10:42:00 AM,0,2.5,15,NO SECCHI RECORDED!! No obvious inflow or outflow but possibly Mason during wet periods.  Mine on lake shore possibly for salt.  Couldn’t get surface sediment because ekman only brought up salt crystals.  LOTS of Artemia
22,21,Harris,49.815004,-109.503615,2013-08-07,11:30:00 AM,1.16,5.1,13,Cows in area
