sampleID,depth,variableID,dataValue
Blackstrap,1,temperature,19.2
Blackstrap,1,oxygenPercent,80.4
Blackstrap,1,oxygenConcentration,6.49
Blackstrap,1,specificConductivity,876
Blackstrap,1,conductivity,779
Blackstrap,1,salinity,0.43
Blackstrap,1,pH,8.85
Elkwater,1,temperature,18.7
Elkwater,1,oxygenPercent,90.7
Elkwater,1,oxygenConcentration,6.73
Elkwater,1,specificConductivity,377.4
Elkwater,1,conductivity,331.8
Elkwater,1,salinity,0.18
Elkwater,1,pH,8.65
Mason,1,temperature,19.3
Mason,1,oxygenPercent,51.5
Mason,1,oxygenConcentration,3.82
Mason,1,specificConductivity,8870
Mason,1,conductivity,7902
Mason,1,salinity,4.97
Mason,1,pH,9.26
Adrian,1,temperature,19.4
Adrian,1,oxygenPercent,65.2
Adrian,1,oxygenConcentration,5.18
Adrian,1,specificConductivity,1578
Adrian,1,conductivity,1405
Adrian,1,salinity,0.8
Adrian,1,pH,9.04
Grassy,1,temperature,21.3
Grassy,1,oxygenPercent,79.7
Grassy,1,oxygenConcentration,6.16
Grassy,1,specificConductivity,1284
Grassy,1,conductivity,1192
Grassy,1,salinity,0.64
Grassy,1,pH,8.99
Reesor,1,temperature,18.9
Reesor,1,oxygenPercent,85.1
Reesor,1,oxygenConcentration,6.21
Reesor,1,specificConductivity,284.7
Reesor,1,conductivity,251.7
Reesor,1,salinity,0.14
Reesor,1,pH,8.5
Porter,1,temperature,19.2
Porter,1,oxygenPercent,65
Porter,1,oxygenConcentration,5.25
Porter,1,specificConductivity,5143
Porter,1,conductivity,5472
Porter,1,salinity,2.78
Porter,1,pH,8.49
Pike,1,temperature,19.8
Pike,1,oxygenPercent,96.9
Pike,1,oxygenConcentration,7.59
Pike,1,specificConductivity,545.7
Pike,1,conductivity,491.3
Pike,1,salinity,0.26
Pike,1,pH,8.66
WhiteBear,1,temperature,19.2
WhiteBear,1,oxygenPercent,80.9
WhiteBear,1,oxygenConcentration,6.23
WhiteBear,1,specificConductivity,3824
WhiteBear,1,conductivity,3399
WhiteBear,1,salinity,2.03
WhiteBear,1,pH,9.04
Cypress,1,temperature,19.1
Cypress,1,oxygenPercent,74
Cypress,1,oxygenConcentration,5.77
Cypress,1,specificConductivity,620
Cypress,1,conductivity,550
