YEAR,LAKE,Date,Date2,DOY,pH_surface,SRP_ug_L,TDP_ug_L,TDN_ug_L,RunNo,NO2_ug_L,NH4_ug_L,DOC_mg_L,TIC_mg_L,SO4_mg_L,Si_mg_L,NO3_ug_L
1994,B,04-Jul-94,1994-07-04,185,7.7,163,,706.8,,,,11.7,,,,
1994,B,18-Jul-94,1994-07-18,199,8.35,71,,657,,,,14.3,,,,
1994,B,28-Jul-94,1994-07-28,209,9.25,181,,637,,,,9.71,,,,
1994,B,18-Aug-94,1994-08-18,230,8.1,112,,312,,,,18.12,,,,
1995,B,04-May-95,1995-05-04,124,7.85,20,,,,,230,1.1,,,,1000
1995,B,16-May-95,1995-05-16,136,7.5,0.1,,,,,50,2.1,,,,360
1995,B,26-May-95,1995-05-26,146,8.08,10,,,,,100,5.2,,,,30
1995,B,09-Jun-95,1995-06-09,160,7.71,10,,,,,40,5.2,,,,0
1995,B,23-Jun-95,1995-06-23,174,8.17,30,,,,,60,5.3,,,,0
1995,B,11-Jul-95,1995-07-11,192,7.6,30,,,,,90,5.6,,,,0
1995,B,21-Jul-95,1995-07-21,202,8.15,,,,,,,,,,,
1995,B,02-Aug-95,1995-08-02,214,8.1,50,,,,,680,28,,,,440
1995,B,24-Aug-95,1995-08-24,236,8.43,50,,,,,20,3.8,,,,610
1996,B,08-May-96,1996-05-08,129,7.9,10,,,,,35,1.82,,,,11
1996,B,22-May-96,1996-05-22,143,8.01,19,,,,,10,6.52,,,,54
1996,B,06-Jun-96,1996-06-06,158,8.15,6,,,,,30,2.98,,,,22
1996,B,18-Jun-96,1996-06-18,170,,6,,,,,10,6.84,,,,22
1996,B,03-Jul-96,1996-07-03,185,8.69,3,,,,,7,4.56,,,,11
1996,B,19-Jul-96,1996-07-19,201,8.56,22,,,,,11,4.35,,,,32
1996,B,02-Aug-96,1996-08-02,215,8.27,16,,,,,18,7.33,,,,32
1996,B,19-Aug-96,1996-08-19,232,8.9,38,,,,,78,3.81,,,,119
1997,B,08-May-97,1997-05-08,128,9.41,17,,,,,8,19.77,,,,4
1997,B,26-May-97,1997-05-26,146,9.06,10,,,,,8,6.2,,,,2
1997,B,09-Jun-97,1997-06-09,160,8.95,10,,,,,8,4.82,,,,10
1997,B,25-Jun-97,1997-06-25,176,8.97,27,,,,,80,13.65,,,,438
1997,B,08-Jul-97,1997-07-08,189,8.28,7,,,,,8,5.91,,,,2
1997,B,24-Jul-97,1997-07-24,205,8.18,17,,,,,32,6.61,,,,13
1997,B,05-Aug-97,1997-08-05,217,8.53,7,,,,,136,8.63,,,,8
1997,B,21-Aug-97,1997-08-21,233,8.5,7,,,,,112,5.28,,,,10
1998,B,15-May-98,1998-05-15,135,7.1,5,25,450,,,30,6.69,16.24,,,60
1998,B,01-Jun-98,1998-06-01,152,9.1,5,30,350,,,33,4.17,11.2,,,50
1998,B,15-Jun-98,1998-06-15,166,9,5,30,350,,,60,2.9,11.23,,,30
1998,B,30-Jun-98,1998-06-30,181,9.2,2.5,80,350,,,12,6.51,15.42,,,10
1998,B,15-Jul-98,1998-07-15,196,9.3,5,20,300,,,15,6.42,13.3,,,10
1998,B,31-Jul-98,1998-07-31,212,9.6,5,20,400,,,2,7.18,24.85,,,10
1998,B,21-Aug-98,1998-08-21,233,9.2,5,25,400,,,3,7.97,19.37,,,5
1998,B,22-Sep-98,1998-09-22,265,9.5,16,65,700,,,78,8.68,27.64,,,30
1999,B,05-May-99,1999-05-05,125,,100,,560,,,78,8.56,22.51,,,4
1999,B,17-May-99,1999-05-17,137,7.9,10,,410,,,14,7.77,24.7,,,7
1999,B,30-May-99,1999-05-30,150,8.3,0.11,,525,,,2,7.11,30.16,,,0
1999,B,14-Jun-99,1999-06-14,165,8.6,0.1,,525,,,2,7.46,28.08,,,0
1999,B,04-Jul-99,1999-07-04,185,9.1,30,,1350,,,201,9.5,27.31,,,14
1999,B,13-Jul-99,1999-07-13,194,9.2,20,,525,,,0,8.94,27.86,,,4
1999,B,06-Aug-99,1999-08-06,218,9.4,2200,,1125,,,440,10.41,24.58,,,14
1999,B,20-Aug-99,1999-08-20,232,7.3,30,,1200,,,328,12.8,26.09,,,28
1999,B,28-Aug-99,1999-08-28,240,8,10,,640,,,3,9.98,27.81,,,21
2000,B,07-May-00,2000-05-07,128,7.8,2,,,,,0,6.43,43.76,,,15
2000,B,19-May-00,2000-05-19,140,8.09,,,,,,0,5.83,43.14,,,12
2000,B,05-Jun-00,2000-06-05,157,8.32,8,,,,,0,5.26,42.57,,,12
2000,B,20-Jun-00,2000-06-20,172,8.34,27,,,,,19,6.29,41.9,,,10
2000,B,07-Jul-00,2000-07-07,189,8.08,65,,,,,18,5.48,37.21,,,11
2000,B,24-Jul-00,2000-07-24,206,8.09,18,,,,,17,5.91,33.85,,,9
2000,B,08-Aug-00,2000-08-08,221,,76,,,,,14,5.62,36.32,,,8
2000,B,22-Aug-00,2000-08-22,235,,16,,,,,25,7.96,34.35,,,10
2001,B,04-May-01,2001-05-04,124,8.59,,17.2,218.2,54,,9.8,4.95,14.34,,,9.1
2001,B,16-May-01,2001-05-16,136,8.64,,,,27,,,1.4,18.69,,,
2001,B,06-Jun-01,2001-06-06,157,8.57,,93.6,616.9,41,,2.9,5.83,51.17,,,181.3
2001,B,15-Jun-01,2001-06-15,166,9.02,,18.4,351.7,38,,4.9,5.28,52.28,,,137.5
2001,B,25-Jun-01,2001-06-25,176,8.63,,40.6,328.6,44,,0,5.49,47.97,,,103.1
2001,B,13-Jul-01,2001-07-13,194,8.89,,11.8,399.8,55,,0,4.01,45.43,,,100.4
2001,B,27-Jul-01,2001-07-27,208,6.81,,16.2,384.5,36,,15.2,6.18,42.44,,,94.8
2001,B,09-Aug-01,2001-08-09,221,8.73,,13.6,394.4,45,,0,6.77,42.06,,,101.4
2001,B,28-Aug-01,2001-08-28,240,8.93,,14.9,408.2,47,,0,5.62,40.83,,,42
2002,B,08-May-02,2002-05-08,128,9.61,,12,296.1,9,,4,7.4,,,,5
2002,B,23-May-02,2002-05-23,143,7.93,,16,387.6,30,,1,4.53,,,,35
2002,B,05-Jun-02,2002-06-05,156,8.21,,29,462.1,39,,27,17.98,,,,228
2002,B,20-Jun-02,2002-06-20,171,7.05,,25,793.7,19,,26,4.76,,,,37
2002,B,03-Jul-02,2002-07-03,184,7.8,,40,414.9,20,,13,6.04,,,,72
2002,B,22-Jul-02,2002-07-22,203,8.7,,31,419.7,18,,12,5.57,,,,33
2002,B,06-Aug-02,2002-08-06,218,7.6,,13,1280,16,,9,6.5,,,,8
2002,B,19-Aug-02,2002-08-19,231,8.86,,98,474.6,40,,12,5.33,,,,52
2003,B,06-May-03,2003-05-06,126,8.47,,18,370.1,,,0,5.42,38.13,103.26,,33
2003,B,21-May-03,2003-05-21,141,8.22,,10,339.9,,,0,4.45,37.29,102.84,,23
2003,B,04-Jun-03,2003-06-04,155,8.87,,15,417.4,,,0,6.86,35.52,101.39,,42
2003,B,20-Jun-03,2003-06-20,171,8.83,,30,493.8,,,0,5.58,31.51,110.16,,48
2003,B,27-Jun-03,2003-06-27,178,9.09,,17,462.3,,,0,4.43,31.62,113.92,,31
2003,B,14-Jul-03,2003-07-14,195,9.02,,40,490.7,,,0,4.79,29.84,115.4,,18
2003,B,29-Jul-03,2003-07-29,210,9.43,,18,505.6,,,0,5.48,24.18,124.49,,37
2003,B,13-Aug-03,2003-08-13,225,9.47,,56,452.1,,,0,5.73,27.96,110.85,,0
2003,B,20-Aug-03,2003-08-20,232,9.19,,132,414.9,,,0,5.72,29.04,113.23,,0
2004,B,07-May-04,2004-05-07,128,8.52,7.2,14.2,373.35,,56.11,0,3.9,34.09,,,29.32
2004,B,26-May-04,2004-05-26,147,8.9,4.5,10.8,342.94,,0.17,15.35,4.75,33.94,,,33.52
2004,B,04-Jun-04,2004-06-04,156,8.7,7.3,13.3,266.21,,0.61,20.8,3.96,32.69,,,105.34
2004,B,16-Jun-04,2004-06-16,168,8.9,4.8,11.7,283.41,,30.7,,4.66,,,,43.96
2004,B,28-Jun-04,2004-06-28,180,8.9,7.6,18,334.23,,0.72,,4.52,,,,114.6
2004,B,12-Jul-04,2004-07-12,194,8.8,8.8,16,462.2,,4.99,11.9,4.85,,,,7.36
2004,B,29-Jul-04,2004-07-29,211,8.9,4,24,535.14,,0.61,1.85,5.77,,,,2.49
2004,B,11-Aug-04,2004-08-11,224,8.9,5.6,16.5,709.5,,2.14,136.56,6.01,,,,8.64
2005,B,10-May-05,2005-05-10,130,9.4,8.5,17.4,349.8,,,25.2,4.74,30.83,,,15.2
2005,B,20-May-05,2005-05-20,140,9.3,10.6,18.4,473.89,,,41.2,3.91,33.37,,,8.11
2005,B,03-Jun-05,2005-06-03,154,8.9,13.7,21.2,418.1,,,33.8,3.15,31.6,,,11.9
2005,B,17-Jun-05,2005-06-17,168,8.9,14.7,29.6,345.08,,,28.9,2.94,32.31,,,9.92
2005,B,30-Jun-05,2005-06-30,181,9.3,35.2,45.3,437.98,,,29.2,2.58,31.85,,,8.02
2005,B,15-Jul-05,2005-07-15,196,9.3,38.6,48.1,376.7,,,40.2,3.59,28.59,,,9.3
2005,B,29-Jul-05,2005-07-29,210,9.7,4.7,23,525,,,51.9,4.58,26.03,,,6.76
2005,B,11-Aug-05,2005-08-11,223,9.6,10.6,23,576.2,,,126,3.51,23.73,,,14.8
2006,B,08-May-06,2006-05-08,128,8.8,4.12,19.01,378.44,74807,,30.5,16.57,28.88,,,3.56
2006,B,23-May-06,2006-05-23,143,9.1,9.47,20.3,393.87,74815,,26.7,14.45,30.32,,,8.13
2006,B,05-Jun-06,2006-06-05,156,9.4,4.23,13.28,384.59,74823,,33.7,12.88,30.86,,,4.41
2006,B,19-Jun-06,2006-06-19,170,9.4,10.25,20.59,434,74831,,45.3,9.36,29.93,,,7
2006,B,04-Jul-06,2006-07-04,185,9.4,12.14,24.66,471.2,74840,,28,10.45,29.14,,,34.8
2006,B,17-Jul-06,2006-07-17,198,9.5,10.91,22.94,523.8,74848,,52,9.4,27.94,,,12.2
2006,B,31-Jul-06,2006-07-31,212,9.5,18.54,31.55,532.1,74857,,46.3,9.68,25.58,,,23.9
2006,B,11-Aug-06,2006-08-11,223,10.1,7.97,19.28,510.63,74863,,18.9,12.14,26.2,,,3.37
2006,B,28-Aug-06,2006-08-28,240,10.2,13.55,27.71,542.4,74872,,22,10.35,25.64,,,12.6
2007,B,07-May-07,2007-05-07,127,8.6,9,15,519,,,0.2,9.61,30.51,99.19,0.07,169
2007,B,22-May-07,2007-05-22,142,8.6,12,25,626,,,0.2,8.83,30.91,100.31,0.08,303
2007,B,04-Jun-07,2007-06-04,155,9,4,14,495,,,0.2,9.56,30.81,101.8,0.07,166
2007,B,19-Jun-07,2007-06-19,170,8.5,5,15,596,,,0.2,9.29,29.01,100.83,0.58,267
2007,B,03-Jul-07,2007-07-03,184,8.7,8,16,585,,,0.2,9.42,28.97,101,0.69,200
2007,B,16-Jul-07,2007-07-16,197,8.5,8,17,531,,,0.2,8.19,28,105.46,2.21,180
2007,B,30-Jul-07,2007-07-30,211,8.9,6,13,469,,,0.2,8.99,27.67,107.91,3.16,145
2007,B,13-Aug-07,2007-08-13,225,8.9,12,20,493,,,0.2,8.13,26.01,112.6,4.58,178
2007,B,22-Aug-07,2007-08-22,234,8.6,10,20,490,,,0.2,9.07,27.16,116.93,4.42,169
2008,B,12-May-08,2008-05-12,133,8.5,6,13.6,452,,,0.2,6.77,39.24,,0,88
2008,B,26-May-08,2008-05-26,147,8.5,26,35.6,541,,,0.2,5.99,38.2,,0,172
2008,B,09-Jun-08,2008-06-09,161,8.7,15,21.2,521,,,0.2,5.89,39.03,,0,158
2008,B,23-Jun-08,2008-06-23,175,8.4,33,42,508,,,0.2,5.98,37.49,,0,158
2008,B,07-Jul-08,2008-07-07,189,8.5,10,18.1,434,,,0.2,5.91,37.33,,0,103
