LAKE,Date,Depth_m,Oxygen_ppm,Temperature_deg_C
B,04-07-1994,1,8.4,19
B,18-07-1994,1,8.9,22
B,28-07-1994,1,8.3,22
B,18-08-1994,1,6.9,20
B,04-05-1995,1,6.9,9
B,26-05-1995,1,6.6,12
B,09-06-1995,1,4.6,18
B,23-06-1995,1,4.4,21
B,11-07-1995,1,11,23
B,21-07-1995,1,4.2,22
B,02-08-1995,1,4.8,19
B,24-08-1995,1,4.8,17
B,08-05-1996,1,0,6.5
B,22-05-1996,1,10.3,12.5
B,06-06-1996,1,8.6,17.5
B,18-06-1996,1,,19
B,03-07-1996,1,4.6,22
B,19-07-1996,1,4.7,22
WC,03-05-2010,1,1.9,8.8
WW,03-05-2010,1,13.3,8.8
D,05-05-2010,1,11.39,5.1
B,02-08-1996,1,4,22
B,19-08-1996,1,5,21
B,08-05-1997,1,10.6,9
B,26-05-1997,1,8.6,13
B,09-06-1997,1,9.3,19.5
B,25-06-1997,1,4.6,19
B,08-07-1997,1,6,19.5
B,24-07-1997,1,7,22.5
B,05-08-1997,1,10.2,25
B,21-08-1997,1,8.5,18.5
B,15-05-1998,1,2.4,12
B,01-06-1998,1,6.5,15.2
B,15-06-1998,1,6.8,17.5
B,30-06-1998,1,11.6,18
B,15-07-1998,1,10.5,19.5
B,31-07-1998,1,4.6,19
B,21-08-1998,1,6.8,20
B,22-09-1998,1,4.7,14.5
B,17-05-1999,1,12.8,12
B,30-05-1999,1,11.8,15.5
B,26-05-2004,1,11.1899995804,10.5
B,04-06-2004,1,12.0399999619,15.1999998093
B,28-06-2004,1,9.4099998474,19.2999992371
B,12-07-2004,1,8.5,20.3999996185
B,29-07-2004,1,9.4099998474,19.3999996185
B,11-08-2004,1,8.6400003433,18.1000003815
C,28-05-1998,1,8.2,14.5
C,12-06-1998,1,8.7,17.5
C,24-06-1998,1,10.8,14.5
C,13-07-2004,1,9.6000003815,19.6000003815
C,26-07-2004,1,10.3000001907,22.3999996185
C,10-08-2004,1,8.3000001907,19.1000003815
C,11-05-2005,1,11.67,7.6
C,24-05-2005,1,8.68,11.6
D,27-05-1996,1,13,9
D,24-06-1996,1,6,13
B,14-06-1999,1,11.6,18
B,04-07-1999,1,8.3,18
B,13-07-1999,1,10.6,21
B,06-08-1999,1,8.2,22
B,20-08-1999,1,7.6,20
B,28-08-1999,1,10.4,17
B,07-05-2000,1,9.4,13.5
B,19-05-2000,1,9.6,14.5
B,05-06-2000,1,9,16
B,20-06-2000,1,9,15.5
B,07-07-2000,1,9.2,20.5
B,24-07-2000,1,7.7,21.5
B,08-08-2000,1,6.7,22
B,22-08-2000,1,10,19
B,04-05-2001,1,12.75,9.2
B,16-05-2001,1,10.5,14
B,06-06-2001,1,10.4,15.1
B,15-06-2001,1,13.2,17
B,25-06-2001,1,9.2,19.5
B,13-07-2001,1,6.6,24
B,27-07-2001,1,12.2,22
